id,pricesold,yearsold,zipcode,mileage,make,model,year,engine,body_type,num_cylinders,drive_type
44319,15700,2019,16001,81976,Dodge,Sprinter,2006,2.7L Turbocharged Diesel,Cargo Van,5,RWD
137943,25100,2020,730**,99999,Dodge,Challenger,1970,440 Magnum,Coupe,8,RWD
121144,3500,2020,430**,101249,Chrysler,300 Series,2006,3.5L MPI 24-VALVE HO V6,Sedan,6,RWD
59517,4000,2019,33707,210500,Chevrolet,Silverado 2500,2002,6.6L Turbo Diesel Duramax,Crew Cab Pickup,8,4WD
15603,16600,2019,65080,1008,Ford,Mustang,1967,351 V-8,Coupe,8,RWD
159763,9400,2020,950**,56054,Ford,Mustang,1985,5.7L Gas V8,Convertible,8,RWD
159811,30000,2020,950**,18745,Ford,Bronco,1973,302,SUV,8,4WD
132490,5100,2020,870**,58694,Chevrolet,Other Pickups,1983,6.2L Diesel V8,Crew Cab Pickup,8,RWD
85945,3500,2019,46319,60200,Dodge,Power Wagon,1977,5.2 Liter 318 V8,Standard Cab Pickup,8,4WD
60897,1500,2019,02445,220,Toyota,Tundra,2000,6 cylinder,Standard Cab Pickup,6,RWD
165573,2650,2020,330**,89592,Ford,Mustang,1993,2.3L Gas I4,Convertible,4,RWD
165408,3900,2020,330**,89759,Jaguar,XK8,1999,4.0L Gas V8,Convertible,8,RWD
165327,4600,2020,330**,109321,Jaguar,XK8,1999,4.0L Gas V8,Convertible,8,RWD
136503,2030,2020,840**,225000,Ford,Mustang,2003,4.6L Gas V8,Convertible,8,RWD
131274,850,2020,140**,234000,Volkswagen,Passat,2004,2.0L Diesel I4,Sedan,4,FWD
71334,2000,2019,32223,153451,BMW,3-Series,2006,3.0 I6,Sedan,6,RWD
102536,23000,2019,25313,79990,Chevrolet,Bel Air/150/210,1956,350,Sedan,8,RWD
102329,34000,2019,25313,57190,Dodge,Ram 3500,2011,6.7,Crew Cab Pickup,6,4WD
66877,15000,2019,25313,13901,Dodge,Power Wagon,1978,318,Standard Cab Pickup,8,4WD
102221,6110,2019,25313,130000,International Harvester,Other,1952,3.9 V6,Standard Cab Pickup,6,RWD
1326,8650,2019,65721,79400,Ford,Mustang,1997,4.6 32 valve,Coupe,8,RWD
91901,8200,2019,04284,50000,Cadillac,Other,1937,346 cubic inches,Limousine,8,RWD
126322,10650,2020,217**,84000,Chevrolet,Monte Carlo,1987,350,Coupe,8,RWD
102867,9600,2019,21702,72000,Chevrolet,Monte Carlo,1988,305,Coupe,8,RWD
122603,6360,2020,29404,62123,Dodge,Power Wagon,1978,400,Extended Cab Pickup,8,2WD
73591,720,2020,33774,100000,Ford,Ranchero,1978,351,Pickup,8,RWD
89912,13700,2019,47150,68000,Chevrolet,Corvette,2001,V-8,Convertible,8,RWD
122806,12100,2020,20785,95000,Ford,Mustang,2003,4L SC V8 double overhead cam (DOHC) 32V,2dr Car,8,2dr Cpe SVT Cobra
18176,1930,2019,33069,70728,Chevrolet,Camaro,1987,V8,Coupe,8,RWD
109930,610,2019,14830,22943,Pontiac,Grand Am,1992,3.3L,Coupe,6,FWD
109929,1080,2019,14830,212412,Nissan,Titan,2004,5.6L V8,Crew Cab Pickup,8,4WD
109824,41400,2019,14830,12952,Alfa Romeo,4C,2016,1.7L,Convertible,4,RWD
140891,23500,2020,028**,26949,Pontiac,Le Mans,1966,326 V8,Coupe,8,RWD
139779,32000,2020,900**,34498,Ford,Mustang,2007,302,Coupe,8,RWD
16264,17000,2019,75032,51370,Ford,Mustang,1991,347CI V8,Hatchback,8,RWD
75758,7000,2019,92108,102700,BMW,M3,2005,3.2,Convertible,6,RWD
86290,1110,2019,21037,225000,Nissan,300ZX,1988,v6,Coupe,6,rear
13696,3750,2019,04957,83552,Ford,Mustang,1995,5.0,Convertible,8,RWD
108784,25060,2019,02301,100000,Dodge,Challenger,1971,340,Coupe,8,RWD
158107,8000,2020,023**,135000,Dodge,Charger,1973,318,Coupe,8,RWD
151928,15500,2020,446**,86000,Chevrolet,C1500,1993,7.4L Gas V8,Pickup,8,RWD
116329,5000,2020,853**,107777,Dodge,Charger,2006,Hemi,Sedan,8,RWD
3731,8360,2019,74451,100,Dodge,Other,1929,460,Coupe,8,RWD
7805,970,2019,16667,104805,Ford,Bronco,1989,5.0,SUV,8,4WD
118451,19500,2020,275**,46239,Honda,Odyssey,2016,Gasoline - V-6 3.5 L,Minivan,6,FWD
51853,33000,2019,61010,11200,Ford,Mustang,2011,5.4 Supercharged,Coupe,8,RWD
85457,7700,2020,13167,42630,Pontiac,GTO,1969,400,Coupe,8,Automatic
142945,10560,2020,131**,48832,Chevrolet,Suburban,2007,6.0L Gas V8,SUV,8,4WD
112230,8000,2020,28601,52500,CHEVROLET,SEDAN,1931,INLINE 6,SEDAN,6,RWD
58226,15200,2019,28601,13935,Ford,F-150,2013,V6,Standard Cab Pickup,6,RWD
111691,9100,2020,286**,37858,Cadillac,Fleetwood,1995,5.7L LT1 V8,Sedan,8,RWD
71911,6200,2020,28601,197320,Nissan,Frontier,2007,V6 4.0,Crew Cab Pickup,6,4WD
801,9600,2018,28601,26478,Dodge,Charger,1973,V8 318,Coupe,8,RWD
89280,6100,2019,06804,73411,Chevrolet,Corvette,1978,350 L48 - V8,Coupe,8,RWD
119940,14000,2020,068**,63085,Chevrolet,Silverado 1500,2010,4.8L V8 16V,Pickup Truck,8,4WD
100610,1730,2019,65018,177000,Ford,Thunderbird,1994,3.8 supercharged,Coupe,6,RWD
94282,8500,2019,87035,75000,Plymouth,Duster,1970,225,Coupe,6,RWD
38120,28500,2019,50249,28000,Mercedes-Benz,Sprinter,2013,3.0L,Extended Passenger Van,6,RWD
62269,940,2019,07921,122602,Ram,2500,2002,5.9 gas,Standard Cab Pickup,8,4WD
67193,3550,2019,99148,141095,Ford,Transit Connect,2011,2.0,VAN,4,FWD
13530,6800,2019,72653,107164,Toyota,Other,1991,3.0 V6,Extended Cab Pickup,6,4WD
153922,6850,2020,370**,123000,Lincoln,Town Car,2010,4.6L Flexible V8,Sedan,8,RWD
39346,2080,2019,06040,129000,BMW,3-Series,2005,2.5L Inline 6,Sedan,6,RWD
84873,5900,2019,15216,57531,Suzuki,Kizashi,2012,2.4 L,Sedan,4,AWD
14099,6000,2018,11208,144120,Kia,Optima,2015,2.4L,Sedan,4,FWD
14077,3950,2018,11208,122603,BMW,3-Series,2007,3.0L,Convertible,6,RWD
87683,5600,2019,92112,59851,Mercury,Meteor,1963,260 Windsor V-8 to 302,2 Door Hardtop Coupe,8,RWD
76082,6100,2019,66092,184300,Toyota,4Runner,2002,3.4L V6,SUV,6,4WD
143243,10100,2020,841**,59114,Jeep,Wrangler,1993,4.0 I6,SUV,6,4WD
16756,2430,2019,84115,165402,Mazda,B-Series Pickups,1984,2.2,2dr pickup,4,RWD
9082,2130,2019,84115,110272,Mazda,B-Series Pickups,1988,I4 2.2,pickup truck club cab,4,RWD
32549,2800,2019,29860,111320,Chevrolet,Impala,1969,327 ci,4 dr sedan,8,RWD
82845,9200,2019,49448,26347,Ford,Mustang,1969,351 Cleveland,Mach 1,8,RWD
32821,19940,2019,43560,24000,Volvo,XC90,2017,2.0l turbo super charge,SUV,4,4WD
119355,15100,2020,288**,165000,Acura,Integra,1996,1.8L Gas I4,Hatchback,4,FWD
88420,4000,2019,85140,71200,Ford,E-Series Van,1970,302 c.i. (5.0 litre),Extended Passenger Van,8,RWD
96481,1080,2019,24084,121352,Ford,Explorer,1998,5.0,SUV,8,AWD
77855,11000,2019,76234,20787,Ford,Escape,2017,1.5 Ecoboost,SUV,4,FWD
77942,14100,2019,76234,65000,Ford,F-150,2015,2.7 Ecoboost,Crew Cab Pickup,6,RWD
59997,7600,2019,76234,172960,Ford,F-250,2005,6.0 Powerstroke,Crew Cab Pickup,8,4WD
108809,9600,2019,76234,198226,Ford,F-250,2010,6.4 V8,Crew Cab Pickup,8,4WD
59963,7200,2019,76234,225600,Chevrolet,Silverado 3500,2006,6.6 Duramax Diesel,Extended Cab Pickup,8,RWD
67338,680,2019,11772,164483,GMC,Yukon,1999,5.7L,SUV,8,4WD
71515,2000,2019,08827,179774,Chevrolet,C/K Pickup 1500,1992,5.7L,Standard Cab Pickup,8,RWD
46440,15200,2019,95301,46814,Ford,Mustang,1968,390 Big Block,Coupe,8,RWD
49615,5100,2019,30341,111754,Jeep,Cherokee,2000,4.0,SUV,6,4WD
67219,3150,2019,30341,87329,Mercedes-Benz,S-Class,1999,4.2 L V8,Sedan,8,RWD
115695,5400,2020,806**,74500,Chevrolet,Corvette,1980,V8,Coupe,8,RWD
115235,3000,2020,119**,92000,Chevrolet,Camaro,1989,V8,Coupe,8,RWD
35345,7400,2019,42757,120000,Jeep,CJ,1985,258,Fiberglass,6,4WD
142169,8300,2020,261**,29531,Ford,Mustang,1966,289 cubic inch,Coupe,8,RWD
78242,5500,2020,80433,188536,Chevrolet,Tahoe,2008,5.3L Flex Fuel,SUV,8,4WD
126723,1000,2020,344**,170000,Infiniti,G35,2008,3.5,Sedan,6,RWD
92951,200,2019,87124,140303,Dodge,Neon,1999,2.0l,Sedan,4,FWD
102524,8800,2019,17853,154300,Jeep,Wrangler,2004,4.0,SUV,6,4WD
100937,700,2019,87801,202975,Nissan,Other Pickups,1995,V6 3.0L,Extended Cab Pickup,6,4WD
130810,1200,2020,900**,200000,Honda,Accord,1993,2.2L Gas I4,Sedan,4,FWD
18210,2850,2019,42164,82750,Chevrolet,HHR,2009,2.2,Hatchback,4,FWD
154570,9700,2020,330**,99300,Jeep,Commander,2009,V8 4.7L,SUV,8,4WD
1835,19300,2019,84047,100000,Chevrolet,Impala,1964,327,Coupe,8,RWD
115354,2980,2020,926**,148000,Chevrolet,Trailblazer,2006,V6,SUV,6,RWD
47062,29100,2019,V6R1L3,104,Porsche,911,1991,flat 6,Convertible,6,RWD
84194,2180,2020,68503,128243,Chevrolet,Corvette,1984,5.7,Coupe,8,RWD
41453,5200,2019,07738,87000,Ford,Mustang,2007,V6  4.0L,Coupe,6,RWD
66742,15900,2019,38222,18352,Ford,F-150,2011,305 v6 ffv,Regular Cab Pickup,6,4WD Reg Cab
49201,6800,2019,29671,121000,Chevrolet,Corvette,1995,300 HP V8,Convertible,8,RWD
35264,15500,2019,33411,85200,Acura,MDX,2012,3.7,SUV,6,AWD
64351,3900,2019,92553,89000,GMC,Sierra 2500,1971,402,Standard Cab Pickup,8,RWD
49376,21500,2019,75154,81565,Cadillac,Commercial Chassis,1959,390 v8,Hearse,8,RWD
43785,4200,2019,75154,112000,Cadillac,Commercial Chassis,1967,429 v8,Hearse,8,RWD
4707,8600,2019,32137,95000,BMW,3-Series,2012,2.0 Turbo,Sedan,4,RWD
92498,1400,2019,81240,183023,Chevrolet,Monte Carlo,2004,3400,Coupe,6,FWD
160579,14700,2020,985**,104015,Volkswagen,EuroVan,1997,2.8L Gas I6,Van Camper,6,FWD
43905,10200,2019,98568,75370,Volkswagen,Bus/Vanagon,1987,2.1L 4 Cylinder,Van Camper,4,RWD
100478,10750,2019,21613,72000,Chevrolet,Express,2003,6L V8 16V,Extended Passenger Van,8,RWD
88322,3050,2019,41042,146373,Ford,F-250,2001,6.8l,Extended Crew Cab Pickup,10,4WD
162328,1180,2020,370**,177000,Ford,Escape,2010,3.0L Flexible V6,SUV,6,4WD
59483,38300,2019,95368,7550,Chevrolet,Camaro,1969,396,Convertible,8,RWD
59421,46100,2019,95368,7550,Chevrolet,Camaro,1969,396,Convertible,8,RWD
42747,1330,2019,32148,150000,Dodge,Other Pickups,1984,360,Standard Cab Pickup,8,RWD
87305,10300,2019,69101,104000,Datsun,Z-Series,1978,L28,Coupe,6,RWD
83970,6200,2019,49445,125001,GMC,Yukon,2001,6.0L,SUV,8,AWD
74212,7100,2019,19004,77900,Honda,Odyssey,2011,3.5L V6,Minivan,6,FWD
95617,8300,2020,95350,89000,Chevrolet,Silverado 1500,1987,350,Crew Cab Pickup,8,RWD
4889,7000,2019,27834,6877,Chevrolet,SS,2017,6.2 417 hp,Sedan,8,RWD
77284,14300,2019,19350,85987,Plymouth,Barracuda,1972,318,Coupe,8,318 auto
95777,3540,2019,44076,153000,Ford,E-Series Van,1997,5.4,Conversion  Van,8,RWD
57922,30600,2019,21921,3115,Ford,Mustang,2007,4.6 V8 Supercharged,Coupe,8,RWD
143075,5900,2020,750**,153900,Volkswagen,Corrado,1993,2.8L Gas I6,Coupe,6,FWD
43280,10100,2019,37064,58659,Packard,200,1949,8 cylinder Flathead,Coupe,8,RWD
65400,940,2019,05031,72965,GMC,Jimmy,1976,350 CI,SUV,8,4 x 4
138208,7100,2020,210**,48505,Cadillac,DTS,2006,Northstar,Hearse,8,FWD
77007,1500,2019,21035,39552,Cadillac,DeVille,2000,4.6L V8,Limousine,8,FWD
77212,2200,2019,21035,74936,Cadillac,DeVille,2001,V8 Northstar,Hearse,8,FWD
60154,7400,2019,33309,94000,Volkswagen,Beetle - Classic,1969,4 CYL.,CONVERTIBLE,4,REAR WHEEL DRIVE
114621,12000,2020,333**,32000,Mercedes-Benz,S-Class,1984,2.8 LTIRE,FOUR DOOR SEDAN,6,REAR WHEEL DRIVE
5489,27100,2019,33309,9000,Ford,ROADSTER,1932,8 CYL.,ROADSTER CONVERTIBLE,8,REAR WHEEL DRIVE
45505,11990,2019,33309,65000,Mercedes-Benz,SL-Class,1977,4.5 LITRE,CONVERTIBLE ROADSTER,8,REAR WHEEL DRIVE
59895,15090,2019,33309,69000,Mercedes-Benz,SL-Class,1972,4.5 LITRE,CONVERTIBLE ROADSTER,8,REAR WHEEL DRIVE
137083,9800,2020,333**,70000,Mercedes-Benz,SL-Class,1972,4.5 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
4266,7600,2019,33309,21000,Mercedes-Benz,200-Series,1971,2.8 LITRE,SEDAN,6,REAR WHEEL DRIVE
59923,11990,2019,33309,72000,Mercedes-Benz,200-Series,1972,4.5 LITRE,SEDAN,8,REAR WHEEL DRIVE
52442,7000,2019,33309,74000,Cadillac,Allante,1993,4.6 LITRE NORTHSTAR,CONVERTIBLE,8,FRONT WHEEL DRIVE
75646,6200,2019,33309,128000,Chevrolet,C-10,1985,5.7 LITRE,SHORT BED PICK UP,8,REAR WHEEL DRIVE
135470,17880,2020,333**,58000,Chevrolet,Corvette,1975,5.7 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
77430,6100,2019,33309,64000,TVR,VIXEN,1972,2.5 LITRE,Coupe,6,REAR WHEEL DRIVE
40293,26500,2019,33309,5500,Replica/Kit Makes,CADILLAC,1932,460 FORD,CONVERTIBLE,8,REAR WHEEL DRIVE
77925,15100,2019,33309,76000,Buick,Series 90,1931,345 CUBIC INCH,Coupe,8,REAR WHEEL DRIVE
27138,9100,2019,33309,131000,Jeep,Wrangler,1989,383 STROKER,JEEP,8,4X4
114596,14200,2020,333**,49000,Chevrolet,Impala,1963,8 CYL.,Coupe,8,REAR WHEEL DRVIE
60177,15800,2019,33309,10000,Oldsmobile,Toronado,1966,7.0 LITRE,TWO DOOR COUPE,8,FRONT WHEEL DRIVE
77937,3990,2019,33309,124000,Chevrolet,Other Pickups,1947,6 CYL,HEAVY DUTY PICK UP,6,REAR WHEEL DRIVE
135648,29850,2020,333**,99000,Buick,Special,1940,STRAIGHT 8,CONVERTIBLE,8,REAR WHEEL DRIVE
22061,12600,2019,33309,42000,Porsche,914,1973,4 CYL.,TARGA TOP ROADSTER,4,REAR WHEEL DRIVE
138285,7750,2020,333**,99999,Buick,Special,1958,V/8,HARD TOP,8,REAR WHEEL DRIVE
136659,16110,2020,333**,13000,Replica/Kit Makes,HUMMER H1,2000,5.7 LITRE,SUV,8,4X4
5368,13950,2019,33309,55000,Mercury,Monterey,1957,5.1 LITRE,TWO DOOR HARD TOP,8,REAR WHEEL DRIVE
3401,10750,2019,33309,110700,Hummer,H2,2003,6.0 LITRE,SPORT UTILITY VEHICLE,8,ALL WHEEL DRIVE 4X4
137064,20100,2020,333**,29000,Ford,Mustang,1965,5.0 LTIRE,Coupe,8,REAR WHEEL DRIVE
40145,22200,2019,33309,40000,Ford,Mustang,1966,289 CUBIC INCHES,CONVERTIBLE,8,REAR WHEEL DRIVE
136975,15000,2020,333**,71000,Cadillac,Eldorado,1976,8.2 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
77657,26110,2019,33309,38000,Buick,PHAETON,1937,STRAIGHT EIGHT,Sedan,8,REAR WHEEL DRIVE
113587,18900,2020,33309,49000,AMC,AMX,1969,343 CUBIC IN.,SPORT COUPE,8,REAR WHEEL DRIVE
75645,36000,2019,33309,30868,Rolls-Royce,Silver Cloud,1957,V/8,CONVERTIBLE,8,REAR WHEEL DRIVE
51990,27770,2019,33309,7900,Replica/Kit Makes,MERCEDES BENZ 500K,1934,5.7 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
40291,11700,2019,33309,15000,Replica/Kit Makes,AUSTIN HEALEY,1966,4 CYL.,CONVERTIBLE,4,REAR WHEEL DRIVE
77448,36040,2019,33309,35,Replica/Kit Makes,ZEPHYR,1936,5.7 LITRE,CONVERTIBLE ROADSTER,8,REAR WHEEL DRIVE
51989,26430,2019,33309,19900,Ford,Thunderbird,1956,292 V/8,CONVERTIBLE AND HARD TOP,8,REAR WHEEL DRIVE
27229,10300,2019,33309,26000,Jaguar,XJS,1986,5.3 LTIRE,SPORT COUPE,12,REAR WHEEL DRIVE
60099,7100,2019,33309,68000,Jaguar,XJS,1987,5.3 LITRE,SPORT COUPE,12,REAR WHEEL DRIVE
77897,17050,2019,33309,52000,Jaguar,XJS,1996,4.0 LITRE,CONVERTIBLE,6,REAR WHEEL DRIVE
33893,11990,2019,33309,78000,Jaguar,XJS,1996,4.0 LITRE,CONVERTIBLE,6,REAR WHEEL DRIVE
40365,13880,2019,33309,46000,Land Rover,Range Rover,1995,3.5 LITRE,SPORT UTILITY VEHICLE,8,ALL WHEEL DRIVE 4X4
4448,19600,2019,33309,77000,Bentley,Arnage,2001,6.75 LITRE TURBO,LUXURY SEDAN,8,REAR WHEEL DRIVE
60006,14900,2019,33309,37000,Rolls-Royce,Silver Shadow,1967,V/8,LUXURY SEDAN,8,REAR WHEEL DRIVE
30888,12500,2019,33309,68000,BMW,6-Series,1984,3.3 LITRE,Coupe,6,REAR WHEEL DRIVE
59583,7100,2019,33309,155000,BMW,6-Series,1988,3.5 LITRE,SPORT COUPE,6,REAR WHEEL DRIVE
45670,16990,2019,33309,76000,BMW,8-Series,1995,4.0 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
76398,9090,2019,33309,59000,BMW,5-Series,2010,3.0 LITRE,Sedan,6,REAR WHEEL  DRIVE
138083,12800,2020,333**,87000,Mercedes-Benz,SL-Class,1985,3.8 LITRE,Convertible,8,REAR WHEEL DRIVE
76179,10000,2019,33309,93000,Mercedes-Benz,SL-Class,1985,3.8 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
5414,14460,2019,33309,63000,Mercedes-Benz,SL-Class,2002,5.0,CONVERTIBLE,8,REAR WHEEL DRIVE
4370,11400,2019,33309,46900,Mercedes-Benz,SL-Class,2002,5.0 LITRE,ROADSTER CONVERTIBLE,8,REAR WHEEL DRIVE
4162,12510,2019,33309,90000,Mercedes-Benz,SL-Class,2004,5.0 LITRE,CONVERTIBLE,8,REAR WHEEL DRIVE
135423,7880,2020,333**,116000,Porsche,928,1983,5.0 LITRE,COUPE,8,REAR WHEEL DRIVES
59763,14000,2019,33309,53000,Chrysler,Imperial,1966,413 CUBIC INCH,CROUWN COUPE,8,REAR WHEEL DRIVE
77944,15500,2019,33309,48000,Maserati,Quattroporte,1982,V/8,FOUR DOOR LUXURY SEDAN,8,REAR WHEEL DRIVE
137183,4890,2020,333**,29000,Maserati,Biturbo,1986,BI-TURBO,Sedan,4,FWD
75937,3580,2019,33309,68000,Alfa Romeo,164,1991,3.0 LITRE,SEDAN,6,FRONT WHEEL DRIVE
104705,13500,2019,21158,82006,Chevrolet,Camaro,1968,5.7L,Convertible,8,RWD
54562,33800,2019,93274,3000,Ford,Sunliner,1952,302,Convertible,8,RWD
86156,6600,2019,86004,104100,Ford,Excursion,2003,6.0 Turbo Diesel,SUV,8,RWD
10188,36430,2019,86004,69300,Ford,F-250,2013,6.7,Crew Cab Pickup,8,4WD
87940,8100,2020,86004,93500,Ford,F-150,2006,5.4 V8,Crew Cab Pickup,8,4WD
10461,33950,2019,86004,44900,GMC,Yukon,2016,6.2,SUV,8,4WD
10441,5200,2019,86005,152000,Chevrolet,Tahoe,2005,5.3,SUV,8,4WD
10087,28600,2019,86005,23600,Jeep,Wrangler,2008,5.7 V8,SUV,8,4wd
10439,8400,2019,86005,5350,Dodge,Journey,2018,3.6,SUV,6,FWD
10455,14670,2019,86004,3050,Chevrolet,Equinox,2019,1.5,SUV,4,AWD
10344,28400,2019,86002,25150,Toyota,Highlander,2017,V6,SUV,6,AWD
10454,31500,2019,86004,43002,Toyota,Tundra,2014,5.7,Crew Cab Pickup,8,4WD
10139,6000,2019,86005,73573,Jaguar,S-Type,2007,3.0,Sedan,6,RWD
144087,9600,2020,860**,91700,BMW,7-Series,2009,4.8 Twin Turbo V8,Sedan,8,RWD
62743,17700,2019,86001,34011,BMW,Z4,2011,6 cylinder twin turbo,Convertible,6,RWD
30621,5700,2019,46368,59500,Ford,Mustang,2004,4.6L V8 SOHC 16V,2dr Car,8,2dr Cpe GT Deluxe
135429,40200,2020,310**,14800,Lexus,LS,2018,3.5L Gas V6,Sedan,6,RWD
14180,660,2019,46126,187000,Dodge,Dakota,2004,3.7 V6,Crew Cab Pickup,6,4WD
153145,4650,2020,424**,137000,Oldsmobile,Cutlass,1984,383 Stroker V8,Coupe,8,--
65501,5700,2019,11767,115802,Pontiac,Trans Am,1989,5.7,Coupe,8,RWD
65431,5000,2019,11767,115802,Pontiac,Trans Am,1989,5.7,Coupe,8,RWD
26797,13030,2019,95664,103000,Dodge,Challenger,2012,Hemi,Coupe,8,RWD
82293,16000,2020,16146,101000,Oldsmobile,Eighty-Eight,1962,394,Convertible,8,RWD
67154,3050,2019,52601,102830,Land Rover,Range Rover,1990,3.9L V8,SUV,8,4WD
52809,16880,2019,49099,38903,Volkswagen,Beetle - Classic,1963,1600 SP,Convertible,4,Rear
64515,5500,2019,99206,112638,Kaiser,Deluxe,1951,Continental 226 c.i.,Sedan,6,RWD
5198,5100,2019,52172,20661,Chevrolet,Monte Carlo,1976,350 v8,Coupe,8,RWD
16730,5200,2019,52172,113392,Chevrolet,Monte Carlo,2004,3.8 lt supercharged 6cyl,Coupe,6,FWD
121822,14000,2020,78254,47100,Mercedes-Benz,GLK-Class,2013,3.5L Gas V6,SUV,6,RWD
84434,40100,2019,48649,89990,Chevrolet,Impala,1964,409 cu. in. 340 hp.,Convertible,8,RWD
140692,43200,2020,802**,10992,Jaguar,F-Type,2016,3.0L Gas V6,Convertible,6,RWD
119935,8000,2020,48857,123456,BMW,Isetta,1958,598cc,Coupe,2,RWD
147591,5000,2020,488**,123456,BMW,Isetta,1958,598cc,Coupe,2,RWD
147625,2000,2020,488**,139760,Ford,Thunderbird,1988,Turbo Charged 4 cylinder,Coupe,4,RWD
147718,5000,2020,488**,27817,Ford,Pinto,1978,2.3 liter,Wagon,4,RWD
19204,7200,2019,91902,40500,Nissan,Sentra,2014,1.8L I4,Sedan,4,FWD
151221,12200,2020,902**,190973,Dodge,Ram 2500,2007,5.9 CUMMINGS DIESEL,Crew Cab Pickup,6,4WD
95102,6100,2019,89107,133267,MERCEDES-BENZ,600 SEC SUPER RARE,1993,V-12,Coupe,12,RWD
44610,14910,2019,33134,86440,Cadillac,Coupe DeVille Series 62,1953,V8 331 Automatic,Coupe,8,RWD
72869,7400,2019,11758,104090,Dodge,A100,1965,273,van,8,RWD
113692,8000,2020,255**,9999,Ford,Panel Truck,1949,302,Minivan,8,RWD
93346,7500,2019,48043,187660,Chevrolet,Silverado 1500,2011,5.3 Liter,Crew Cab Pickup,8,4WD
102448,4500,2019,19380,86000,Chevrolet,Impala,1961,"235, 6 cyl",Sedan,6,RWD
138067,10600,2020,629**,30146,Cadillac,DeVille,1975,500-V-8,Coupe,8,RWD
114039,1530,2020,945**,47320,Dodge,A100,1967,318,Wagon,8,RWD
93009,5310,2019,37754,27544,Pontiac,Trans Am,1995,5.7 LT1,Convertible,8,RWD
63932,6100,2019,46052,54000,Jaguar,XK8,1999,V8 4.0 liter 290 HP,Convertible,8,RWD
56113,10000,2019,80108,141000,Jeep,Wagoneer,1988,5.9L V8,Wagon,8,4WD
123541,18000,2020,982**,66723,Chevrolet,Camaro,2015,6.2L Gas V8,Convertible,8,RWD
56170,5200,2019,30710,75000,Ford,LTD,1972,400,Convertible,8,RWD
80420,9800,2019,71303,137000,Jeep,Wrangler,1988,CHEVY 350,SUV,8,4WD
132055,32600,2020,460**,33819,Chevrolet,Corvette,2010,6.2L Gas V8,Coupe,8,RWD
5660,30330,2019,07731,63000,Ram,5500,2013,Diesel 6.7 Cummins,Cab & Chassis,6,4WD
35146,25600,2019,44145,66845,Jaguar,E-Type,1971,V-12 5.4 Liter,Coupe,12,RWD
32914,2030,2019,53151,182912,Jeep,Wrangler,2000,4.0 Litre,SUV,6,4WD
