Region,Country,ItemType,SalesChannel,OrderID,UnitsSold,UnitPrice,UnitCost
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,483226621,6350,437,263
Australia and Oceania,Australia,Clothes,Offline,241836822,3744,109,35
Middle East and North Africa,Oman,Clothes,Online,557192933,4626,109,35
Sub-Saharan Africa,Malawi,Meat,Online,694968783,5562,421,364
Middle East and North Africa,Lebanon,Fruits,Online,441150701,5150,9,6
Europe,Czech Republic,Cereal,Online,552037513,9022,205,117
Australia and Oceania,Vanuatu,Cosmetics,Offline,504240548,4838,437,263
Europe,Luxembourg,Vegetables,Offline,744683635,7291,154,90
Sub-Saharan Africa,Benin,Personal Care,Online,440603101,3104,81,56
Middle East and North Africa,Somalia,Clothes,Offline,629547774,6031,109,35
Europe,Switzerland,Meat,Online,169378983,1860,421,364
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,688270556,3407,81,56
Asia,Laos,Meat,Online,734708821,5522,421,364
Asia,Kyrgyzstan,Snacks,Online,727492606,84,152,97
Middle East and North Africa,Algeria,Baby Food,Offline,705733239,1003,255,159
Sub-Saharan Africa,Angola,Office Supplies,Offline,778854548,9224,651,524
Sub-Saharan Africa,Mauritania,Cosmetics,Offline,676592862,7718,437,263
Middle East and North Africa,Lebanon,Household,Offline,198997008,6492,668,502
Europe,Finland,Beverages,Online,566428315,7581,47,31
Asia,Taiwan,Baby Food,Online,369560611,52,255,159
Europe,Belgium,Snacks,Online,519380223,5005,152,97
Asia,Laos,Office Supplies,Online,197185981,568,651,524
Europe,San Marino,Office Supplies,Online,904589211,6905,651,524
Australia and Oceania,Tuvalu,Household,Offline,613513743,1205,668,502
Australia and Oceania,Kiribati,Clothes,Offline,516195905,2694,109,35
Asia,Kyrgyzstan,Vegetables,Offline,975184524,7626,154,90
Australia and Oceania,Samoa,Clothes,Online,173340928,4287,109,35
Sub-Saharan Africa,Central African Republic,Personal Care,Offline,863838946,7995,81,56
Asia,Uzbekistan,Cereal,Offline,920164906,6099,205,117
Central America and the Caribbean,Dominica,Meat,Online,986117637,2977,421,364
Middle East and North Africa,Qatar,Cereal,Online,425808465,5042,205,117
Central America and the Caribbean,Saint Lucia,Beverages,Online,473661220,5736,47,31
Europe,Bosnia and Herzegovina,Baby Food,Online,184412229,531,255,159
Asia,South Korea,Vegetables,Offline,483110320,1934,154,90
Central America and the Caribbean,Trinidad and Tobago,Household,Online,115116822,4481,668,502
Middle East and North Africa,Somalia,Baby Food,Online,596105563,9738,255,159
Sub-Saharan Africa,Nigeria,Snacks,Online,362062871,1304,152,97
Sub-Saharan Africa,South Africa,Beverages,Online,619287574,9810,47,31
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,394391000,7916,109,35
Sub-Saharan Africa,Sudan,Beverages,Online,584296977,5315,47,31
Middle East and North Africa,Algeria,Clothes,Offline,806241834,3730,109,35
Europe,Netherlands,Meat,Offline,747774398,1916,421,364
Central America and the Caribbean,Panama,Meat,Online,616755998,660,421,364
Australia and Oceania,Solomon Islands,Baby Food,Offline,691360461,7779,255,159
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,870074117,3121,47,31
Middle East and North Africa,Iran,Office Supplies,Online,221695792,3566,651,524
Australia and Oceania,Vanuatu,Fruits,Online,135336816,8026,9,6
Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,270421016,2443,651,524
Sub-Saharan Africa,Equatorial Guinea,Household,Online,806684720,4790,668,502
Europe,Russia,Household,Online,194176757,72,668,502
Middle East and North Africa,Azerbaijan,Baby Food,Offline,103258454,5326,255,159
Middle East and North Africa,Iraq,Office Supplies,Online,474603641,4619,651,524
Sub-Saharan Africa,Mauritius,Cereal,Online,869198644,4049,205,117
Sub-Saharan Africa,Eritrea,Household,Online,918342292,6747,668,502
Europe,Ukraine,Cosmetics,Online,773645913,7873,437,263
Asia,Myanmar,Cosmetics,Online,657033336,9620,437,263
Europe,Bosnia and Herzegovina,Meat,Online,410740888,6211,421,364
Europe,Latvia,Meat,Offline,847317397,8902,421,364
Europe,Serbia,Beverages,Online,599624192,978,47,31
Asia,Mongolia,Beverages,Offline,170835101,2758,47,31
Central America and the Caribbean,Grenada,Cereal,Online,584436452,6588,205,117
Sub-Saharan Africa,Namibia,Office Supplies,Online,234227073,1851,651,524
Europe,Portugal,Office Supplies,Online,734318292,9956,651,524
Central America and the Caribbean,Barbados,Snacks,Online,169133937,9345,152,97
Asia,Sri Lanka,Cereal,Online,743410336,494,205,117
Europe,Poland,Household,Offline,232196319,905,668,502
Sub-Saharan Africa,Senegal,Beverages,Offline,530853211,117,47,31
Australia and Oceania,Kiribati,Fruits,Online,905054843,4695,9,6
Middle East and North Africa,Somalia,Household,Offline,240787541,3239,668,502
Sub-Saharan Africa,Burundi,Meat,Online,194350135,1379,421,364
Asia,Malaysia,Household,Online,242353951,6775,668,502
Central America and the Caribbean,Haiti,Vegetables,Offline,831722819,4120,154,90
Europe,Liechtenstein,Cosmetics,Online,229693067,138,437,263
Sub-Saharan Africa,Zambia,Cereal,Offline,373813521,8583,205,117
Europe,United Kingdom,Beverages,Online,121945512,5242,47,31
Australia and Oceania,Vanuatu,Fruits,Offline,202262866,2932,9,6
Australia and Oceania,Tuvalu,Personal Care,Offline,963251912,6501,81,56
Central America and the Caribbean,Antigua and Barbuda,Household,Online,123711478,7830,668,502
Central America and the Caribbean,Haiti,Clothes,Offline,422752892,830,109,35
Europe,Slovenia,Fruits,Online,169799983,6443,9,6
Europe,Malta,Vegetables,Online,894589078,7643,154,90
Asia,Bhutan,Office Supplies,Offline,597169005,4434,651,524
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,497901093,8853,651,524
Europe,Ukraine,Personal Care,Online,987459170,9967,81,56
Asia,Singapore,Personal Care,Offline,276829564,8875,81,56
Sub-Saharan Africa,Cameroon,Household,Offline,247311103,3706,668,502
Europe,Cyprus,Fruits,Offline,600515115,4622,9,6
Europe,Poland,Office Supplies,Offline,208365428,8815,651,524
Europe,Monaco,Personal Care,Online,263098371,5509,81,56
Australia and Oceania,Vanuatu,Office Supplies,Online,227262771,959,651,524
Sub-Saharan Africa,Gabon,Office Supplies,Offline,983719956,3450,651,524
Sub-Saharan Africa,Djibouti,Baby Food,Offline,785643756,8301,255,159
Sub-Saharan Africa,Namibia,Office Supplies,Online,206520497,2859,651,524
Europe,Estonia,Cosmetics,Online,790149009,1505,437,263
Europe,Norway,Cereal,Online,100640618,650,205,117
Sub-Saharan Africa,Ethiopia,Personal Care,Online,272419154,3736,81,56
Sub-Saharan Africa,Burundi,Meat,Offline,360220944,6237,421,364
Asia,Thailand,Beverages,Offline,389094817,658,47,31
Sub-Saharan Africa,Mauritius,Meat,Offline,904402101,1534,421,364
Sub-Saharan Africa,Uganda,Vegetables,Online,721816623,434,154,90
Europe,Luxembourg,Snacks,Online,977324712,955,152,97
Sub-Saharan Africa,The Gambia,Beverages,Online,177225196,3729,47,31
Middle East and North Africa,United Arab Emirates,Beverages,Online,948129403,1415,47,31
Central America and the Caribbean,Haiti,Meat,Offline,586961162,3706,421,364
Europe,Luxembourg,Snacks,Online,510956799,2326,152,97
Central America and the Caribbean,Saint Lucia,Meat,Online,407665145,6030,421,364
Middle East and North Africa,Iraq,Meat,Online,484947526,5604,421,364
Europe,Armenia,Fruits,Online,120977771,8866,9,6
Asia,Singapore,Personal Care,Offline,114242208,5663,81,56
Middle East and North Africa,Jordan,Clothes,Online,433539664,2876,109,35
Australia and Oceania,Tonga,Meat,Online,667981469,9416,421,364
Europe,Bulgaria,Snacks,Offline,476991450,1225,152,97
Sub-Saharan Africa,Sudan,Office Supplies,Online,940305936,6277,651,524
Sub-Saharan Africa,Mali,Baby Food,Online,507973754,9577,255,159
Asia,Myanmar,Cosmetics,Online,850356233,8161,437,263
Asia,Sri Lanka,Meat,Offline,108127200,6096,421,364
Middle East and North Africa,Azerbaijan,Office Supplies,Online,542272984,9481,651,524
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,884092414,1447,651,524
Sub-Saharan Africa,Swaziland,Household,Offline,385196816,7153,668,502
Asia,Myanmar,Meat,Online,167510020,8792,421,364
Europe,Denmark,Beverages,Online,973268353,589,47,31
Sub-Saharan Africa,Seychelles,Fruits,Offline,915020644,3797,9,6
Sub-Saharan Africa,Madagascar,Cosmetics,Offline,425628221,1704,437,263
Central America and the Caribbean,Saint Lucia,Beverages,Online,908264911,4626,47,31
Sub-Saharan Africa,Mauritius,Cereal,Online,686417043,4912,205,117
Asia,Taiwan,Household,Online,853883445,1941,668,502
Middle East and North Africa,Morocco,Cereal,Online,324775445,7126,205,117
Middle East and North Africa,Jordan,Cereal,Online,783516871,8909,205,117
Asia,China,Cosmetics,Offline,834844052,7762,437,263
Asia,South Korea,Snacks,Offline,953805816,1191,152,97
North America,United States of America,Office Supplies,Online,335763490,8733,651,524
Asia,Uzbekistan,Cosmetics,Online,946390902,6954,437,263
Europe,Finland,Vegetables,Offline,771674382,4453,154,90
Asia,Philippines,Cereal,Online,567912757,6860,205,117
Middle East and North Africa,Libya,Office Supplies,Offline,711717355,1836,651,524
Sub-Saharan Africa,South Sudan,Office Supplies,Online,750012004,4074,651,524
Middle East and North Africa,Kuwait,Snacks,Online,750033032,297,152,97
Central America and the Caribbean,Saint Lucia,Household,Offline,849329268,4259,668,502
Central America and the Caribbean,Grenada,Meat,Online,805762040,1748,421,364
Sub-Saharan Africa,Namibia,Cereal,Online,447505176,5581,205,117
Australia and Oceania,Solomon Islands,Beverages,Offline,123045003,606,47,31
Asia,Philippines,Household,Offline,251180350,8702,668,502
Asia,Turkmenistan,Household,Online,871022546,3782,668,502
Europe,Kosovo,Fruits,Online,291995418,6788,9,6
Asia,Singapore,Clothes,Online,943835294,692,109,35
Sub-Saharan Africa,South Africa,Office Supplies,Offline,826591002,5501,651,524
Middle East and North Africa,Lebanon,Cosmetics,Online,260623872,3250,437,263
Australia and Oceania,Samoa,Vegetables,Online,536607730,3007,154,90
Australia and Oceania,Samoa,Personal Care,Offline,765528905,5870,81,56
Europe,Hungary,Baby Food,Online,128686225,9968,255,159
Middle East and North Africa,Pakistan,Vegetables,Offline,127691018,5465,154,90
Australia and Oceania,Tonga,Vegetables,Offline,534467113,9550,154,90
Australia and Oceania,Vanuatu,Personal Care,Online,741250836,1450,81,56
Australia and Oceania,Vanuatu,Snacks,Online,210591018,7417,152,97
Central America and the Caribbean,Grenada,Vegetables,Online,725348985,5738,154,90
Sub-Saharan Africa,Mozambique,Household,Offline,538698565,1731,668,502
Central America and the Caribbean,Cuba,Cereal,Offline,224126088,2745,205,117
Middle East and North Africa,Algeria,Beverages,Online,425430381,3159,47,31
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Offline,506722772,9383,154,90
Sub-Saharan Africa,Uganda,Office Supplies,Offline,802427089,4862,651,524
Asia,Thailand,Cosmetics,Offline,367279660,5068,437,263
Middle East and North Africa,Turkey,Personal Care,Offline,126329314,2506,81,56
Asia,Kazakhstan,Personal Care,Offline,624937379,1713,81,56
Central America and the Caribbean,Nicaragua,Snacks,Offline,678777682,4255,152,97
Asia,Kazakhstan,Cereal,Online,523836553,3732,205,117
Sub-Saharan Africa,Chad,Cereal,Offline,466412818,772,205,117
Australia and Oceania,East Timor,Fruits,Online,433117806,8039,9,6
Europe,Lithuania,Cosmetics,Offline,420875346,5223,437,263
Sub-Saharan Africa,Eritrea,Cosmetics,Online,946921765,4048,437,263
Sub-Saharan Africa,Zambia,Household,Offline,798805892,3270,668,502
Sub-Saharan Africa,Liberia,Household,Offline,184389054,3674,668,502
Central America and the Caribbean,Saint Kitts and Nevis,Household,Offline,281845080,3077,668,502
Central America and the Caribbean,Jamaica,Meat,Online,989660298,1330,421,364
Europe,Albania,Vegetables,Online,476633536,5310,154,90
Asia,Japan,Baby Food,Offline,131876122,3930,255,159
Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,514811885,3132,421,364
Asia,Myanmar,Office Supplies,Online,905177152,889,651,524
Middle East and North Africa,Libya,Personal Care,Offline,653020751,2207,81,56
Asia,Mongolia,Meat,Online,528704011,4121,421,364
Asia,Singapore,Snacks,Offline,472900760,699,152,97
Central America and the Caribbean,The Bahamas,Baby Food,Offline,946597325,8039,255,159
Asia,Sri Lanka,Office Supplies,Offline,681092536,9272,651,524
Europe,Cyprus,Vegetables,Offline,727997720,9558,154,90
Middle East and North Africa,Afghanistan,Baby Food,Online,409236705,1090,255,159
Europe,Moldova,Personal Care,Online,467045819,8092,81,56
Europe,Kosovo,Cosmetics,Offline,813973891,1818,437,263
Middle East and North Africa,Egypt,Household,Online,982882249,5554,668,502
Europe,Albania,Cosmetics,Offline,576944720,9619,437,263
Asia,Singapore,Vegetables,Offline,619647634,6360,154,90
Europe,Portugal,Baby Food,Online,404789817,5157,255,159
Asia,India,Snacks,Offline,646482598,7422,152,97
Sub-Saharan Africa,Sudan,Meat,Online,329149806,1597,421,364
Australia and Oceania,Vanuatu,Office Supplies,Offline,757527768,8155,651,524
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,606665313,4602,437,263
Europe,Bosnia and Herzegovina,Baby Food,Online,871923768,474,255,159
Europe,Kosovo,Vegetables,Offline,818976962,2337,154,90
Europe,Switzerland,Cosmetics,Online,233811223,8792,437,263
Central America and the Caribbean,Cuba,Beverages,Offline,772725379,5466,47,31
Europe,Lithuania,Office Supplies,Offline,112330758,22,651,524
Middle East and North Africa,Lebanon,Clothes,Online,499551188,7153,109,35
Asia,North Korea,Clothes,Online,201622998,3581,109,35
Europe,Montenegro,Office Supplies,Offline,256095016,3061,651,524
Sub-Saharan Africa,Eritrea,Fruits,Offline,420828568,1380,9,6
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,523997485,1355,205,117
Asia,India,Office Supplies,Online,914088094,7835,651,524
Sub-Saharan Africa,Republic of the Congo,Snacks,Online,209899222,2699,152,97
Sub-Saharan Africa,Comoros,Clothes,Offline,250542199,9859,109,35
Europe,France,Meat,Online,245440852,257,421,364
Sub-Saharan Africa,Rwanda,Vegetables,Online,824331510,6867,154,90
Sub-Saharan Africa,Malawi,Meat,Online,887263000,9693,421,364
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Offline,754596650,772,205,117
Europe,Spain,Fruits,Online,817006289,9172,9,6
Sub-Saharan Africa,Uganda,Clothes,Offline,185478246,5989,109,35
Asia,Taiwan,Personal Care,Offline,741311347,9356,81,56
Middle East and North Africa,Israel,Personal Care,Offline,386116921,9432,81,56
Central America and the Caribbean,Costa Rica,Meat,Offline,691818797,3411,421,364
Central America and the Caribbean,Honduras,Snacks,Online,150653302,515,152,97
Asia,South Korea,Vegetables,Offline,925169265,7000,154,90
Europe,Sweden,Vegetables,Online,298228013,1151,154,90
Australia and Oceania,Tonga,Office Supplies,Online,123003375,8287,651,524
Europe,Latvia,Snacks,Online,972981679,5755,152,97
Asia,Indonesia,Beverages,Online,791961753,7937,47,31
Asia,Myanmar,Household,Online,744054925,1242,668,502
Asia,Turkmenistan,Office Supplies,Offline,263685023,9113,651,524
Central America and the Caribbean,Panama,Baby Food,Online,205588376,7024,255,159
Europe,Norway,Personal Care,Offline,594813811,7480,81,56
Europe,Estonia,Clothes,Online,176722657,5016,109,35
Europe,Malta,Personal Care,Offline,466988742,1201,81,56
Sub-Saharan Africa,Eritrea,Personal Care,Offline,801598393,9633,81,56
Sub-Saharan Africa,Republic of the Congo,Meat,Offline,586850440,941,421,364
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,649356210,7787,152,97
Middle East and North Africa,Yemen,Cereal,Offline,986039531,9864,205,117
Asia,Turkmenistan,Household,Offline,314136731,8894,668,502
Middle East and North Africa,Somalia,Beverages,Offline,121196639,3634,47,31
Europe,Portugal,Cereal,Online,615080583,4868,205,117
Asia,Kyrgyzstan,Fruits,Offline,273962390,414,9,6
Middle East and North Africa,Lebanon,Personal Care,Offline,796328389,121,81,56
Europe,Macedonia,Cosmetics,Online,350977408,869,437,263
Middle East and North Africa,Algeria,Clothes,Offline,327020776,1570,109,35
Middle East and North Africa,Qatar,Vegetables,Online,383882319,8164,154,90
Europe,Greece,Personal Care,Offline,701298367,8626,81,56
Sub-Saharan Africa,Benin,Fruits,Online,629317748,7961,9,6
Asia,Uzbekistan,Baby Food,Offline,938301789,3205,255,159
Middle East and North Africa,Azerbaijan,Vegetables,Online,668924319,8426,154,90
Asia,Cambodia,Clothes,Online,282171666,9721,109,35
Europe,Italy,Personal Care,Online,309342658,222,81,56
Sub-Saharan Africa,Mauritius,Cosmetics,Online,902048623,5088,437,263
Middle East and North Africa,Yemen,Clothes,Online,482213389,6513,109,35
Central America and the Caribbean,Cuba,Vegetables,Offline,692073285,8719,154,90
Australia and Oceania,Tonga,Fruits,Online,544177138,2963,9,6
Central America and the Caribbean,Guatemala,Vegetables,Online,471386277,2530,154,90
Australia and Oceania,New Zealand,Personal Care,Online,976874530,7737,81,56
Europe,Norway,Household,Offline,384128224,933,668,502
Sub-Saharan Africa,South Africa,Personal Care,Online,686946189,1498,81,56
Sub-Saharan Africa,Zambia,Snacks,Offline,799439752,843,152,97
Central America and the Caribbean,Saint Kitts and Nevis,Cereal,Online,606032741,7410,205,117
Asia,Indonesia,Beverages,Offline,511461484,1674,47,31
Europe,Netherlands,Household,Offline,990774810,1138,668,502
Asia,Thailand,Snacks,Offline,339334046,5340,152,97
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,522813022,846,81,56
Sub-Saharan Africa,Equatorial Guinea,Fruits,Offline,427198064,6255,9,6
Asia,Tajikistan,Beverages,Offline,808788001,7197,47,31
Sub-Saharan Africa,Botswana,Meat,Offline,244194161,1334,421,364
Central America and the Caribbean,Dominican Republic,Fruits,Offline,980340373,3357,9,6
Australia and Oceania,Samoa,Beverages,Online,384462964,9990,47,31
Europe,Belgium,Vegetables,Offline,394110763,4988,154,90
Australia and Oceania,Federated States of Micronesia,Cosmetics,Online,767145097,4137,437,263
Sub-Saharan Africa,Botswana,Fruits,Online,431739795,254,9,6
Asia,Vietnam,Cereal,Online,636381185,8189,205,117
Europe,Kosovo,Fruits,Online,899868094,9821,9,6
Europe,Germany,Baby Food,Offline,361311852,9061,255,159
Europe,Hungary,Beverages,Online,930136287,6852,47,31
Central America and the Caribbean,Saint Lucia,Cereal,Online,536077725,6167,205,117
Sub-Saharan Africa,Madagascar,Snacks,Online,779184997,7011,152,97
Europe,Bulgaria,Cosmetics,Online,179819428,1420,437,263
Asia,Myanmar,Vegetables,Online,928654849,8461,154,90
Sub-Saharan Africa,Togo,Baby Food,Offline,336677587,9234,255,159
Australia and Oceania,Australia,Vegetables,Online,285186469,1869,154,90
Middle East and North Africa,Morocco,Baby Food,Offline,475792825,6525,255,159
Middle East and North Africa,Qatar,Clothes,Offline,680420482,396,109,35
Europe,Bosnia and Herzegovina,Fruits,Online,291305768,2705,9,6
Middle East and North Africa,Iraq,Baby Food,Offline,570997512,9707,255,159
Europe,Russia,Personal Care,Online,602357041,9689,81,56
Middle East and North Africa,Lebanon,Meat,Online,438558185,7967,421,364
Europe,Albania,Snacks,Online,653087270,1891,152,97
Australia and Oceania,Samoa,Cereal,Offline,989743125,5840,205,117
Europe,Slovenia,Fruits,Offline,812637078,6225,9,6
Europe,Macedonia,Personal Care,Online,456192958,6489,81,56
Middle East and North Africa,Lebanon,Cereal,Online,775147092,2105,205,117
Sub-Saharan Africa,Comoros,Household,Offline,894548308,5578,668,502
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,459757936,1445,437,263
Europe,Albania,Meat,Offline,986449801,1272,421,364
Europe,Sweden,Cosmetics,Online,910610234,8659,437,263
Sub-Saharan Africa,Liberia,Cereal,Offline,538538062,4235,205,117
Europe,Norway,Meat,Online,696844613,661,421,364
Middle East and North Africa,Israel,Fruits,Online,482453715,7630,9,6
Central America and the Caribbean,Cuba,Office Supplies,Offline,412601697,6866,651,524
Central America and the Caribbean,Nicaragua,Meat,Offline,174837386,7123,421,364
Middle East and North Africa,Kuwait,Personal Care,Offline,877022111,9187,81,56
North America,United States of America,Cereal,Offline,997329699,876,205,117
Sub-Saharan Africa,Rwanda,Snacks,Offline,434246480,2038,152,97
Central America and the Caribbean,Jamaica,Cereal,Online,956571280,9554,205,117
Europe,Czech Republic,Personal Care,Online,353415429,2334,81,56
Sub-Saharan Africa,Kenya,Vegetables,Online,984202754,6321,154,90
Sub-Saharan Africa,Central African Republic,Beverages,Offline,328669583,9488,47,31
Middle East and North Africa,Jordan,Cosmetics,Offline,436864745,6841,437,263
Middle East and North Africa,Tunisia,Household,Offline,279149568,5415,668,502
Europe,Andorra,Cereal,Online,696197879,9278,205,117
North America,United States of America,Household,Offline,348996007,4529,668,502
Sub-Saharan Africa,Cote d'Ivoire,Beverages,Offline,668842780,4297,47,31
Europe,Iceland,Cosmetics,Online,907349526,3743,437,263
Europe,Poland,Personal Care,Offline,386440074,5060,81,56
Sub-Saharan Africa,Madagascar,Vegetables,Offline,748350751,2472,154,90
Central America and the Caribbean,Saint Kitts and Nevis,Personal Care,Online,105630385,7233,81,56
Asia,Sri Lanka,Cosmetics,Offline,691140305,2630,437,263
Sub-Saharan Africa,Comoros,Cosmetics,Offline,308054339,8980,437,263
Sub-Saharan Africa,Senegal,Fruits,Offline,879858815,8631,9,6
Europe,Finland,Vegetables,Online,800352561,963,154,90
Sub-Saharan Africa,Sao Tome and Principe,Baby Food,Online,783646905,7388,255,159
Europe,Poland,Beverages,Offline,714165675,6348,47,31
Asia,Turkmenistan,Meat,Offline,996645200,8317,421,364
Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,306134307,799,651,524
Asia,Brunei,Snacks,Offline,537994325,3331,152,97
Asia,Philippines,Cereal,Online,957899081,2480,205,117
Asia,India,Office Supplies,Online,451834905,6844,651,524
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Online,676100623,2054,255,159
Australia and Oceania,Vanuatu,Snacks,Offline,207307565,5770,152,97
Asia,Japan,Baby Food,Offline,392379558,2685,255,159
Australia and Oceania,Nauru,Cosmetics,Online,398552930,9524,437,263
Middle East and North Africa,Pakistan,Office Supplies,Offline,363376510,39,651,524
Middle East and North Africa,Morocco,Vegetables,Offline,944711625,18,154,90
Sub-Saharan Africa,Cameroon,Household,Online,170732104,2279,668,502
Europe,Croatia,Beverages,Offline,189924275,1668,47,31
Asia,Thailand,Clothes,Offline,521086966,68,109,35
Asia,Kyrgyzstan,Meat,Online,303331506,1388,421,364
Europe,Poland,Meat,Online,546081721,6571,421,364
Europe,Switzerland,Baby Food,Online,979073941,8591,255,159
Sub-Saharan Africa,Sao Tome and Principe,Vegetables,Offline,502356994,7453,154,90
Australia and Oceania,New Zealand,Meat,Online,336292207,5192,421,364
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Online,871553409,876,81,56
Australia and Oceania,New Zealand,Personal Care,Offline,319126927,5604,81,56
Sub-Saharan Africa,Liberia,Vegetables,Online,560311591,7506,154,90
Europe,Bosnia and Herzegovina,Personal Care,Offline,396718728,6742,81,56
Australia and Oceania,Marshall Islands,Fruits,Online,500272166,506,9,6
Asia,South Korea,Snacks,Online,263208234,8020,152,97
Europe,Hungary,Beverages,Offline,948075759,5540,47,31
Europe,Sweden,Cereal,Offline,737736070,1352,205,117
Europe,Slovakia,Household,Offline,585362994,773,668,502
Middle East and North Africa,Morocco,Baby Food,Offline,164442861,1152,255,159
Australia and Oceania,Samoa,Office Supplies,Online,118774497,6868,651,524
Australia and Oceania,Papua New Guinea,Baby Food,Online,712469232,4333,255,159
Sub-Saharan Africa,Ghana,Baby Food,Offline,479950892,6989,255,159
Sub-Saharan Africa,Niger,Vegetables,Online,275955808,311,154,90
Asia,India,Baby Food,Offline,125532805,6802,255,159
Asia,Philippines,Clothes,Online,574043214,998,109,35
Middle East and North Africa,Jordan,Personal Care,Online,437160861,4468,81,56
Europe,Czech Republic,Baby Food,Offline,850872075,810,255,159
Australia and Oceania,East Timor,Snacks,Offline,321475684,654,152,97
Europe,Bosnia and Herzegovina,Office Supplies,Offline,575583016,6660,651,524
Middle East and North Africa,Bahrain,Meat,Offline,710117900,8522,421,364
Asia,Nepal,Fruits,Offline,342316663,7962,9,6
Asia,Maldives,Cosmetics,Offline,959728133,3737,437,263
Australia and Oceania,Tuvalu,Vegetables,Offline,970213639,6631,154,90
Asia,Philippines,Cereal,Offline,651947009,4463,205,117
North America,United States of America,Vegetables,Offline,803414571,7080,154,90
Sub-Saharan Africa,Tanzania,Fruits,Offline,493415153,1363,9,6
Central America and the Caribbean,Barbados,Household,Offline,211060082,6223,668,502
Europe,Kosovo,Meat,Offline,515773189,7603,421,364
Asia,Nepal,Office Supplies,Offline,687290799,3475,651,524
Sub-Saharan Africa,Guinea-Bissau,Fruits,Online,975661742,8846,9,6
Europe,Monaco,Personal Care,Online,351247346,750,81,56
Europe,Portugal,Beverages,Offline,554721438,3256,47,31
Asia,Turkmenistan,Clothes,Online,247070348,2461,109,35
Asia,Thailand,Meat,Online,859592902,1497,421,364
Australia and Oceania,Vanuatu,Vegetables,Online,743900430,5523,154,90
Sub-Saharan Africa,Central African Republic,Household,Online,121916759,6733,668,502
Asia,Maldives,Personal Care,Online,635878217,9350,81,56
Europe,Germany,Cereal,Offline,398333632,4629,205,117
Sub-Saharan Africa,Botswana,Cosmetics,Online,742144334,5855,437,263
Europe,Vatican City,Beverages,Online,370484149,3348,47,31
Europe,Denmark,Baby Food,Offline,306839406,9454,255,159
Sub-Saharan Africa,South Sudan,Fruits,Online,745008933,3554,9,6
