id_pedido,id_cliente,Tienda,TipoLibro,und_pedidas,und_despachadas,ano_despacho,mes_despacho,lead_time,rating
38,CL0075,Santiago,Novelas,59,59,2023,9,2,62.5
39,CL0100,Webpage,Novelas,1,1,2024,2,4,56.8
40,CL0100,Webpage,CienciaFiccion,8,8,2023,11,4,84.3
41,CL0009,Regiones,Novelas,8,8,2023,4,2,53
42,CL0001,Regiones,Academicos,8,8,2023,12,4,60.7
43,CL0070,Regiones,Academicos,54,54,2023,7,4,52.4
44,CL0033,Santiago,CienciaFiccion,53,53,2023,11,2,55.7
45,CL0100,Webpage,Academicos,1,1,2023,12,1,68.3
46,CL0003,Regiones,CienciaFiccion,35,35,2023,5,3,53.9
47,CL0100,Webpage,Novelas,2,2,2023,6,7,73.6
48,CL0100,Webpage,Academicos,2,2,2023,12,6,74.1
49,CL0099,Regiones,Novelas,76,76,2023,6,5,45.9
50,CL0017,Santiago,Novelas,33,33,2023,12,4,73.4
51,CL0027,Santiago,CienciaFiccion,80,80,2023,12,7,52
52,CL0100,Webpage,Academicos,4,4,2024,2,3,59.8
53,CL0100,Webpage,Academicos,1,1,2023,4,4,54.1
54,CL0091,Regiones,Academicos,70,70,2023,3,8,57.8
55,CL0100,Webpage,CienciaFiccion,5,5,2023,6,4,86.6
56,CL0100,Webpage,Academicos,1,1,2023,11,1,83.5
57,CL0100,Webpage,CienciaFiccion,11,11,2023,5,0,69.1
58,CL0100,Webpage,Novelas,1,1,2023,12,1,57.5
59,CL0076,Regiones,Academicos,44,44,2024,1,11,50.5
60,CL0100,Webpage,Academicos,5,5,2023,6,8,68.3
61,CL0100,Webpage,Novelas,1,1,2023,9,3,71.1
62,CL0124,Regiones,CienciaFiccion,27,27,2023,7,5,65.7
63,CL0033,Santiago,CienciaFiccion,38,38,2023,3,1,66.8
64,CL0100,Webpage,CienciaFiccion,1,1,2023,10,2,50.4
65,CL0100,Webpage,CienciaFiccion,2,2,2023,12,7,78.1
66,CL0088,Regiones,CienciaFiccion,80,80,2023,12,15,48.2
67,CL0033,Santiago,CienciaFiccion,24,24,2023,4,1,74.7
68,CL0033,Santiago,Novelas,73,73,2023,6,3,62.3
69,CL0100,Webpage,Academicos,1,1,2023,6,3,80.8
70,CL0075,Santiago,Academicos,62,62,2023,3,1,52.9
71,CL0099,Regiones,Novelas,48,48,2023,2,3,63.3
72,CL0100,Webpage,CienciaFiccion,7,7,2023,6,3,65.4
73,CL0070,Regiones,Academicos,39,39,2024,2,10,59.4
74,CL0100,Webpage,Academicos,4,4,2024,1,1,64.7
75,CL0100,Webpage,Academicos,1,1,2023,10,2,71.9
76,CL0100,Webpage,Novelas,1,1,2023,12,6,79.3
77,CL0100,Webpage,CienciaFiccion,4,4,2023,10,2,62.7
78,CL0033,Santiago,CienciaFiccion,10,10,2023,6,5,71.1
79,CL0100,Webpage,Novelas,1,1,2023,5,3,65.8
80,CL0100,Webpage,Novelas,1,1,2023,10,1,68.7
81,CL0017,Santiago,Novelas,19,19,2023,6,5,63.1
82,CL0033,Santiago,Novelas,34,34,2023,12,5,58.7
83,CL0009,Regiones,Academicos,29,29,2023,6,8,59.3
84,CL0100,Webpage,CienciaFiccion,6,6,2023,12,4,64.1
85,CL0100,Webpage,CienciaFiccion,5,5,2023,5,3,82.5
86,CL0076,Regiones,Novelas,92,92,2023,1,14,51.8
87,CL0100,Webpage,Novelas,1,1,2023,6,1,56.4
88,CL0100,Webpage,Novelas,1,1,2024,3,2,70.9
89,CL0100,Webpage,Novelas,1,1,2023,6,1,65.9
90,CL0095,Regiones,CienciaFiccion,24,24,2023,1,2,61.5
91,CL0100,Webpage,Novelas,1,1,2023,11,5,64.6
92,CL0029,Santiago,Novelas,94,94,2023,9,4,56.3
93,CL0064,Santiago,Novelas,4,4,2023,5,1,50.3
94,CL0100,Webpage,Novelas,1,1,2023,10,1,56.5
95,CL0100,Webpage,Novelas,1,1,2023,5,0,55.3
96,CL0100,Webpage,Novelas,1,1,2023,1,1,87.1
97,CL0100,Webpage,CienciaFiccion,3,3,2023,10,2,74.2
98,CL0100,Webpage,Academicos,1,1,2023,12,2,76.4
99,CL0088,Regiones,Novelas,14,14,2023,5,12,85.9
100,CL0100,Webpage,Novelas,1,1,2023,6,5,93.4
101,CL0100,Webpage,Novelas,1,1,2024,2,2,76.3
102,CL0100,Webpage,CienciaFiccion,6,6,2023,5,1,66.7
103,CL0100,Webpage,Academicos,5,5,2023,10,3,62.8
104,CL0047,Santiago,CienciaFiccion,4,4,2023,2,3,50.2
105,CL0060,Santiago,Novelas,10,10,2023,1,5,72.4
106,CL0100,Webpage,CienciaFiccion,2,2,2023,4,1,91.3
107,CL0060,Santiago,Novelas,7,7,2024,2,5,74.2
108,CL0100,Webpage,CienciaFiccion,7,7,2023,6,5,69.4
109,CL0070,Regiones,Novelas,19,19,2023,6,6,59.8
110,CL0100,Webpage,Academicos,1,1,2023,12,7,82
111,CL0093,Regiones,CienciaFiccion,96,96,2023,9,6,59.8
112,CL0100,Webpage,Novelas,1,1,2024,2,1,58.2
113,CL0075,Santiago,Novelas,19,19,2024,3,5,71.3
114,CL0091,Regiones,Novelas,87,82,2023,7,5,65.3
115,CL0100,Webpage,CienciaFiccion,13,13,2023,11,5,51.1
116,CL0100,Webpage,Academicos,1,1,2023,10,1,85.7
117,CL0100,Webpage,CienciaFiccion,1,1,2023,2,0,72.9
118,CL0100,Webpage,Academicos,3,3,2023,6,5,84.2
119,CL0076,Regiones,Novelas,8,8,2024,1,14,69.7
120,CL0070,Regiones,Academicos,28,28,2023,9,8,67.9
121,CL0033,Santiago,Novelas,58,55,2024,1,6,63.7
122,CL0124,Regiones,Novelas,26,26,2023,10,11,58.1
123,CL0100,Webpage,Novelas,2,2,2023,12,6,51.2
124,CL0001,Regiones,Novelas,48,48,2023,6,7,51.1
125,CL0005,Regiones,Novelas,43,43,2023,8,3,54.1
126,CL0100,Webpage,CienciaFiccion,2,2,2024,1,3,82.6
127,CL0100,Webpage,CienciaFiccion,13,13,2023,10,2,67.7
128,CL0100,Webpage,Novelas,3,3,2023,11,4,57.8
129,CL0100,Webpage,CienciaFiccion,2,2,2023,11,1,64.8
130,CL0100,Webpage,CienciaFiccion,1,1,2023,9,1,71.9
131,CL0100,Webpage,Novelas,2,2,2023,6,5,76.8
132,CL0093,Regiones,Academicos,38,38,2023,8,3,68.5
133,CL0031,Regiones,Novelas,90,90,2023,9,11,55.5
134,CL0100,Webpage,CienciaFiccion,1,1,2023,6,3,84.1
135,CL0100,Webpage,Novelas,1,1,2023,12,2,89.8
136,CL0095,Regiones,CienciaFiccion,34,34,2023,8,4,48.5
137,CL0017,Santiago,Novelas,6,6,2023,8,1,67
138,CL0033,Santiago,Novelas,26,26,2024,2,6,64.8
139,CL0095,Regiones,Novelas,25,25,2023,5,1,67.1
140,CL0004,Regiones,Novelas,67,64,2024,1,2,55.5
141,CL0017,Santiago,CienciaFiccion,16,16,2023,10,1,50.1
142,CL0100,Webpage,CienciaFiccion,4,4,2023,11,1,76.5
143,CL0070,Regiones,CienciaFiccion,13,13,2023,12,3,56.9
144,CL0077,Regiones,CienciaFiccion,37,35,2023,8,7,71.7
145,CL0100,Webpage,Novelas,3,3,2023,10,1,78.8
146,CL0004,Regiones,Novelas,11,11,2023,6,3,76.9
147,CL0009,Regiones,Novelas,50,50,2023,8,3,67.5
148,CL0100,Webpage,Novelas,1,1,2023,5,0,75.9
149,CL0070,Regiones,Novelas,29,29,2023,7,7,65.8
150,CL0028,Santiago,Novelas,12,12,2023,7,1,79.1
151,CL0099,Regiones,Academicos,28,27,2023,5,6,70
152,CL0033,Santiago,Novelas,12,12,2023,4,2,56
153,CL0099,Regiones,Academicos,33,31,2023,12,4,64.9
154,CL0100,Webpage,Novelas,1,1,2023,12,1,75.2
155,CL0100,Webpage,CienciaFiccion,2,2,2023,9,1,63.2
156,CL0076,Regiones,Academicos,100,100,2024,3,12,60.7
157,CL0100,Webpage,CienciaFiccion,9,9,2023,5,0,75.4
158,CL0001,Regiones,CienciaFiccion,8,8,2023,7,3,57.8
159,CL0100,Webpage,Novelas,1,1,2023,10,3,74.1
160,CL0095,Regiones,CienciaFiccion,59,59,2023,8,1,71.9
161,CL0093,Regiones,Novelas,38,38,2023,6,3,68.3
162,CL0100,Webpage,Novelas,1,1,2023,3,1,81.5
163,CL0100,Webpage,CienciaFiccion,2,2,2023,6,7,63
164,CL0095,Regiones,Novelas,31,31,2023,11,2,61.6
165,CL0035,Santiago,Novelas,69,69,2023,6,2,66.8
166,CL0037,Santiago,CienciaFiccion,57,57,2023,3,8,60.7
167,CL0001,Regiones,CienciaFiccion,62,62,2023,3,2,53.5
168,CL0075,Santiago,CienciaFiccion,24,24,2023,9,3,63.7
169,CL0100,Webpage,Academicos,2,2,2023,2,1,73.1
170,CL0092,Regiones,CienciaFiccion,24,24,2024,3,7,78.2
171,CL0088,Regiones,Academicos,52,46,2023,1,13,65.7
172,CL0100,Webpage,Novelas,1,1,2023,6,4,61.7
173,CL0004,Regiones,Academicos,50,50,2024,1,5,59.6
174,CL0093,Regiones,CienciaFiccion,4,4,2023,1,11,87.1
175,CL0100,Webpage,Novelas,1,1,2023,12,5,76.7
176,CL0084,Regiones,Novelas,87,87,2023,2,8,65.4
177,CL0100,Webpage,CienciaFiccion,14,14,2023,5,0,79
178,CL0100,Webpage,Academicos,1,1,2023,8,0,55.8
179,CL0035,Santiago,CienciaFiccion,12,12,2023,1,3,83
180,CL0100,Webpage,Academicos,2,1,2023,2,0,71.1
181,CL0100,Webpage,CienciaFiccion,3,3,2023,6,6,68.9
182,CL0100,Webpage,Novelas,1,1,2023,6,1,59.6
183,CL0089,Santiago,Novelas,52,46,2023,8,3,68
184,CL0005,Regiones,CienciaFiccion,27,27,2023,8,4,63.3
185,CL0124,Regiones,Academicos,38,38,2023,10,4,64.7
186,CL0009,Regiones,Academicos,34,34,2023,5,3,55.7
187,CL0100,Webpage,CienciaFiccion,4,4,2023,6,6,63.7
188,CL0100,Webpage,Novelas,1,1,2024,3,1,54.5
189,CL0060,Santiago,Novelas,1,1,2023,5,3,71.5
190,CL0100,Webpage,Novelas,1,1,2023,12,2,54.6
191,CL0100,Webpage,CienciaFiccion,7,7,2023,5,0,77.6
192,CL0100,Webpage,Academicos,1,1,2024,2,2,75.1
193,CL0100,Webpage,Novelas,1,1,2023,10,5,77
194,CL0100,Webpage,CienciaFiccion,1,1,2023,1,0,80.1
195,CL0121,Santiago,CienciaFiccion,40,40,2024,2,2,58.6
196,CL0100,Webpage,Novelas,1,1,2023,4,1,73.7
197,CL0100,Webpage,Academicos,1,1,2024,2,3,76
198,CL0037,Santiago,CienciaFiccion,14,14,2023,1,1,85.6
199,CL0100,Webpage,CienciaFiccion,2,2,2023,6,3,78.5
200,CL0076,Regiones,CienciaFiccion,100,100,2023,8,3,44.5
201,CL0100,Webpage,CienciaFiccion,14,14,2023,11,1,80.4
202,CL0100,Webpage,Academicos,3,3,2023,6,5,61.1
203,CL0095,Regiones,Academicos,6,6,2023,2,4,69
204,CL0076,Regiones,Academicos,26,26,2024,1,7,65.1
205,CL0100,Webpage,Academicos,5,5,2023,10,0,81.2
206,CL0100,Webpage,Novelas,1,1,2023,10,3,61.4
207,CL0095,Regiones,Novelas,34,33,2023,9,7,64.6
208,CL0100,Webpage,Novelas,1,1,2023,2,1,58.9
209,CL0076,Regiones,Academicos,16,14,2024,1,4,69.8
210,CL0050,Regiones,CienciaFiccion,8,8,2024,2,1,56.9
211,CL0100,Webpage,CienciaFiccion,4,4,2023,9,6,65.1
212,CL0100,Webpage,Academicos,1,1,2023,2,1,88.6
213,CL0100,Webpage,Academicos,1,1,2023,5,1,69.9
214,CL0091,Regiones,Academicos,88,87,2023,1,10,58.8
215,CL0076,Regiones,CienciaFiccion,64,64,2023,6,2,62.9
216,CL0033,Santiago,CienciaFiccion,34,34,2023,4,1,47.4
217,CL0100,Webpage,Academicos,2,2,2023,12,7,75.4
218,CL0100,Webpage,Novelas,1,1,2023,12,5,50.5
219,CL0008,Regiones,Academicos,78,78,2023,7,0,58.5
220,CL0003,Regiones,Novelas,19,19,2023,3,3,52.4
221,CL0075,Santiago,Academicos,19,19,2023,3,1,72.8
222,CL0100,Webpage,Academicos,2,2,2024,2,3,69.1
223,CL0100,Webpage,Novelas,2,2,2023,9,2,73
224,CL0100,Webpage,Novelas,1,1,2023,12,5,72.6
225,CL0100,Webpage,Novelas,1,1,2023,2,1,72.1
226,CL0092,Regiones,Novelas,8,7,2023,6,5,69
227,CL0099,Regiones,Academicos,35,35,2023,8,3,69.6
228,CL0009,Regiones,Novelas,44,44,2023,8,9,63.9
229,CL0070,Regiones,Academicos,31,31,2024,3,7,70.4
230,CL0001,Regiones,Academicos,12,12,2023,3,7,61.2
231,CL0033,Santiago,Novelas,12,12,2023,4,1,53.4
232,CL0100,Webpage,Academicos,1,1,2023,11,4,41.9
233,CL0024,Santiago,Novelas,42,42,2023,12,2,57.8
234,CL0100,Webpage,Novelas,1,1,2023,11,4,84.8
235,CL0005,Regiones,Novelas,27,27,2023,7,4,74.2
236,CL0100,Webpage,Novelas,1,1,2024,1,2,61
237,CL0100,Webpage,Novelas,2,2,2023,6,5,81.9
238,CL0033,Santiago,Novelas,23,23,2023,12,5,68.7
239,CL0100,Webpage,Novelas,1,1,2023,6,7,67.2
240,CL0033,Santiago,Novelas,36,36,2023,5,5,56.4
241,CL0100,Webpage,CienciaFiccion,2,2,2023,6,6,57.6
242,CL0093,Regiones,Academicos,39,39,2023,12,7,52.6
243,CL0100,Webpage,CienciaFiccion,2,2,2023,12,6,70.7
244,CL0033,Santiago,Novelas,27,27,2023,10,3,57
245,CL0033,Santiago,CienciaFiccion,10,10,2023,6,5,79
246,CL0100,Webpage,Academicos,1,1,2023,6,7,74.8
247,CL0100,Webpage,CienciaFiccion,7,7,2023,6,5,57.2
248,CL0100,Webpage,CienciaFiccion,6,4,2023,6,8,63.2
249,CL0100,Webpage,CienciaFiccion,2,2,2023,6,6,54.9
250,CL0033,Santiago,Novelas,58,58,2023,12,9,72.8
251,CL0100,Webpage,Novelas,1,1,2023,10,3,51.4
252,CL0033,Santiago,Novelas,48,48,2023,4,6,66.9
253,CL0093,Regiones,Novelas,8,8,2024,1,16,52.4
254,CL0100,Webpage,Academicos,1,1,2023,4,1,55.4
255,CL0100,Webpage,CienciaFiccion,10,10,2023,6,6,68.6
256,CL0033,Santiago,Novelas,60,60,2024,2,5,56.3
257,CL0077,Regiones,Novelas,46,36,2024,3,10,55
258,CL0005,Regiones,Academicos,79,79,2023,7,3,63.1
259,CL0100,Webpage,Novelas,1,1,2023,11,1,70.8
260,CL0093,Regiones,Academicos,75,71,2024,3,9,53
261,CL0100,Webpage,Novelas,1,1,2023,5,0,68.8
262,CL0033,Santiago,Novelas,24,24,2024,2,7,81.2
263,CL0100,Webpage,CienciaFiccion,5,5,2023,6,7,83
264,CL0041,Santiago,Academicos,15,15,2023,8,5,69.7
265,CL0076,Regiones,Academicos,16,16,2024,2,6,73.5
266,CL0033,Santiago,Novelas,11,11,2023,3,8,79.1
267,CL0060,Santiago,Novelas,4,4,2024,2,5,56.1
268,CL0088,Regiones,Academicos,9,9,2023,5,12,68.9
269,CL0100,Webpage,Novelas,1,1,2023,6,6,88.8
270,CL0075,Santiago,Novelas,10,10,2023,3,6,71.1
271,CL0060,Santiago,Novelas,21,21,2023,8,5,73.1
272,CL0100,Webpage,CienciaFiccion,4,4,2023,5,0,77
273,CL0100,Webpage,CienciaFiccion,4,4,2023,1,1,68.5
274,CL0100,Webpage,Academicos,1,1,2023,4,1,80.6
275,CL0084,Regiones,CienciaFiccion,30,29,2023,7,5,53.3
276,CL0001,Regiones,Novelas,54,40,2024,2,3,53.5
277,CL0100,Webpage,CienciaFiccion,4,4,2023,2,3,62.9
278,CL0060,Santiago,Novelas,40,40,2023,6,1,63.9
279,CL0100,Webpage,CienciaFiccion,1,1,2023,10,0,63.4
280,CL0100,Webpage,CienciaFiccion,17,17,2023,4,3,61.9
281,CL0035,Santiago,Novelas,7,7,2023,2,6,77.5
282,CL0100,Webpage,Novelas,1,1,2024,3,0,74.3
283,CL0001,Regiones,CienciaFiccion,10,10,2024,2,3,51.4
284,CL0100,Webpage,CienciaFiccion,7,7,2023,6,5,80.4
285,CL0033,Santiago,Novelas,89,89,2023,9,4,62.5
286,CL0001,Regiones,Novelas,48,48,2024,3,7,58.2
287,CL0093,Regiones,Academicos,23,23,2023,2,4,45.8
288,CL0017,Santiago,Novelas,72,72,2023,7,2,58.1
289,CL0033,Santiago,CienciaFiccion,100,100,2023,7,2,58.9
290,CL0100,Webpage,Academicos,1,1,2023,12,6,50.7
291,CL0100,Webpage,CienciaFiccion,3,3,2023,9,1,75.9
292,CL0100,Webpage,CienciaFiccion,4,4,2023,6,6,66.4
293,CL0003,Regiones,Novelas,16,16,2023,8,7,72.5
294,CL0088,Regiones,Academicos,30,30,2024,1,10,66.9
295,CL0017,Santiago,Novelas,8,8,2023,9,2,63.3
296,CL0065,Regiones,Novelas,8,8,2023,5,3,61.9
297,CL0033,Santiago,Novelas,60,60,2024,2,7,58.1
298,CL0100,Webpage,Academicos,5,5,2023,11,2,73.9
299,CL0084,Regiones,CienciaFiccion,54,54,2023,6,7,55.1
300,CL0100,Webpage,Novelas,1,1,2024,1,4,79.3
301,CL0100,Webpage,Novelas,1,1,2023,1,0,63.8
302,CL0100,Webpage,Novelas,1,1,2024,2,1,65.7
303,CL0033,Santiago,Novelas,7,7,2023,10,3,70.1
304,CL0077,Regiones,CienciaFiccion,49,49,2023,5,7,49.7
305,CL0033,Santiago,Novelas,49,49,2023,5,3,47
306,CL0100,Webpage,CienciaFiccion,4,4,2023,9,1,73.1
307,CL0095,Regiones,Novelas,38,38,2023,5,2,57.1
308,CL0100,Webpage,Academicos,1,1,2024,1,2,76.2
309,CL0093,Regiones,Novelas,7,7,2024,1,6,77
310,CL0017,Santiago,CienciaFiccion,16,16,2023,10,1,69.2
311,CL0100,Webpage,CienciaFiccion,6,6,2023,6,6,75.2
312,CL0100,Webpage,CienciaFiccion,6,6,2023,6,4,64.5
313,CL0088,Regiones,Novelas,3,3,2023,6,3,88
314,CL0100,Webpage,Novelas,4,4,2023,4,1,80.4
315,CL0100,Webpage,Novelas,1,1,2023,11,1,53.5
316,CL0100,Webpage,CienciaFiccion,1,1,2023,5,1,82.6
317,CL0100,Webpage,CienciaFiccion,9,9,2023,6,7,49.5
318,CL0075,Santiago,CienciaFiccion,38,38,2023,9,2,43.9
319,CL0065,Regiones,Novelas,53,53,2023,3,1,58.5
320,CL0100,Webpage,CienciaFiccion,3,3,2023,6,6,63.3
321,CL0100,Webpage,CienciaFiccion,3,3,2024,1,1,76.6
322,CL0100,Webpage,Academicos,1,1,2023,6,7,74.4
323,CL0100,Webpage,CienciaFiccion,3,3,2024,3,7,74.2
324,CL0003,Regiones,Novelas,32,32,2023,2,4,68.8
325,CL0100,Webpage,Academicos,1,1,2023,6,3,85.2
326,CL0100,Webpage,Novelas,1,1,2023,10,3,81.4
327,CL0099,Regiones,Academicos,18,18,2023,3,1,62.9
328,CL0001,Regiones,CienciaFiccion,68,68,2023,5,3,59.4
329,CL0099,Regiones,Novelas,2,2,2024,2,7,56.5
330,CL0004,Regiones,CienciaFiccion,64,63,2023,12,21,60.7
331,CL0077,Regiones,Novelas,35,35,2023,8,3,63.6
332,CL0100,Webpage,Novelas,1,1,2023,6,4,68.8
333,CL0092,Regiones,CienciaFiccion,88,88,2023,12,6,66.4
334,CL0091,Regiones,Novelas,19,19,2024,2,9,75.1
335,CL0100,Webpage,CienciaFiccion,2,2,2023,12,1,81.1
336,CL0100,Webpage,CienciaFiccion,2,2,2023,6,6,67.9
337,CL0035,Santiago,CienciaFiccion,34,34,2023,1,3,69.1
338,CL0084,Regiones,Novelas,80,77,2023,12,8,60.5
339,CL0100,Webpage,Academicos,1,1,2023,10,3,68.7
340,CL0100,Webpage,Novelas,2,2,2023,12,10,81.6
341,CL0100,Webpage,CienciaFiccion,7,7,2023,6,6,69.6
342,CL0100,Webpage,CienciaFiccion,2,2,2023,12,1,75.9
343,CL0093,Regiones,Academicos,27,27,2023,3,2,54.1
344,CL0100,Webpage,Novelas,1,1,2023,2,0,77.8
345,CL0100,Webpage,Novelas,1,1,2023,12,11,69.2
346,CL0100,Webpage,Academicos,2,2,2024,1,1,64.3
347,CL0017,Santiago,Novelas,54,53,2024,2,3,70.9
348,CL0100,Webpage,CienciaFiccion,1,1,2023,10,1,67.9
349,CL0100,Webpage,CienciaFiccion,2,2,2023,1,1,68.5
350,CL0005,Regiones,Academicos,4,4,2023,5,4,53.3
351,CL0093,Regiones,CienciaFiccion,76,76,2023,2,12,54.6
352,CL0003,Regiones,Novelas,97,97,2024,1,7,52.9
353,CL0100,Webpage,CienciaFiccion,8,8,2023,11,4,70.2
354,CL0128,Santiago,Academicos,8,8,2024,2,0,68.8
355,CL0008,Regiones,Academicos,11,11,2023,5,4,62
356,CL0004,Regiones,CienciaFiccion,16,16,2023,10,1,76.8
357,CL0033,Santiago,CienciaFiccion,100,100,2023,8,6,53.9
358,CL0100,Webpage,CienciaFiccion,1,1,2023,2,0,68.7
359,CL0100,Webpage,CienciaFiccion,4,4,2023,10,1,73.9
360,CL0088,Regiones,Academicos,57,42,2024,2,6,49
361,CL0095,Regiones,CienciaFiccion,48,48,2024,1,5,70.3
362,CL0091,Regiones,Academicos,81,72,2023,9,7,62.9
363,CL0084,Regiones,Academicos,79,79,2023,4,2,51.7
364,CL0088,Regiones,Novelas,32,31,2023,11,2,63.6
365,CL0033,Santiago,Novelas,12,12,2023,4,4,73.4
366,CL0100,Webpage,Novelas,1,1,2023,12,1,89.2
367,CL0088,Regiones,Novelas,19,19,2023,7,5,60.9
368,CL0033,Santiago,CienciaFiccion,29,29,2023,9,11,68.5
369,CL0084,Regiones,Novelas,34,33,2023,7,5,66.5
370,CL0100,Webpage,CienciaFiccion,4,4,2023,5,3,76.7
371,CL0100,Webpage,Novelas,1,1,2023,6,5,73.3
372,CL0100,Webpage,Novelas,1,1,2023,9,5,77.3
373,CL0127,Santiago,Academicos,3,3,2023,9,0,61.1
374,CL0100,Webpage,Novelas,1,1,2023,10,1,68.7
375,CL0008,Regiones,Novelas,86,83,2023,12,7,59.9
376,CL0100,Webpage,Novelas,1,1,2023,12,3,50.8
377,CL0100,Webpage,Novelas,1,1,2023,10,1,78.9
378,CL0060,Santiago,Novelas,13,13,2023,4,1,85.9
379,CL0005,Regiones,Novelas,51,51,2023,8,6,62.1
380,CL0100,Webpage,Novelas,2,2,2023,4,1,71.3
381,CL0100,Webpage,Novelas,1,1,2023,6,6,66.3
382,CL0124,Regiones,CienciaFiccion,23,23,2023,10,7,68.5
383,CL0084,Regiones,CienciaFiccion,60,60,2024,1,13,58.6
384,CL0100,Webpage,Academicos,2,2,2023,6,7,85.4
385,CL0100,Webpage,Novelas,1,1,2023,5,2,75.1
386,CL0100,Webpage,Novelas,1,1,2023,1,0,81.8
387,CL0001,Regiones,Academicos,51,51,2023,10,10,56.4
388,CL0100,Webpage,CienciaFiccion,9,9,2023,6,5,77.4
389,CL0124,Regiones,Academicos,56,56,2023,8,5,45.1
390,CL0100,Webpage,CienciaFiccion,6,6,2023,6,7,76.2
391,CL0100,Webpage,CienciaFiccion,6,6,2023,6,7,61
392,CL0100,Webpage,Novelas,4,4,2023,6,4,57.8
393,CL0100,Webpage,Academicos,2,2,2023,12,7,60.9
394,CL0003,Regiones,Academicos,62,62,2023,8,3,59.1
395,CL0100,Webpage,Academicos,5,5,2023,10,3,49.5
396,CL0100,Webpage,CienciaFiccion,4,4,2023,6,4,70.2
397,CL0070,Regiones,CienciaFiccion,8,8,2023,2,3,77
398,CL0075,Santiago,Novelas,17,17,2023,4,3,79.4
399,CL0100,Webpage,Academicos,2,2,2023,11,1,73.4
400,CL0088,Regiones,Novelas,11,11,2023,7,7,67.2
401,CL0100,Webpage,CienciaFiccion,7,7,2023,6,7,58.7
402,CL0100,Webpage,Academicos,4,4,2023,6,6,73.1
403,CL0127,Santiago,Academicos,6,6,2023,6,0,74
404,CL0100,Webpage,Novelas,1,1,2023,10,1,73.6
405,CL0075,Santiago,Novelas,48,48,2023,8,7,64
406,CL0100,Webpage,CienciaFiccion,3,3,2023,10,2,85.4
407,CL0099,Regiones,Novelas,14,14,2023,7,3,63.1
408,CL0100,Webpage,Academicos,1,1,2023,12,1,73.9
409,CL0100,Webpage,Novelas,1,1,2023,10,1,77.4
410,CL0100,Webpage,Novelas,1,1,2023,3,3,74.7
411,CL0029,Santiago,Novelas,70,70,2023,8,5,52.4
412,CL0100,Webpage,CienciaFiccion,2,2,2023,10,1,79.8
413,CL0033,Santiago,CienciaFiccion,57,57,2023,9,11,61.5
414,CL0095,Regiones,CienciaFiccion,57,57,2023,9,3,57.8
415,CL0076,Regiones,Academicos,93,93,2023,3,6,57.8
416,CL0100,Webpage,Novelas,1,1,2023,5,1,83.4
417,CL0124,Regiones,CienciaFiccion,20,20,2024,1,22,83.7
418,CL0100,Webpage,CienciaFiccion,2,2,2023,6,6,66.5
419,CL0009,Regiones,CienciaFiccion,48,48,2023,12,17,57.1
