puntos,precio,provincia,region_1,region_2,critico,variedad
93,225,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
94,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,225,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,225,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,220,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,220,California,Napa Valley,Napa,Jim Gordon,Bordeaux-style Red Blend
94,219,California,Yountville,Napa,Virginie Boone,Bordeaux-style Red Blend
94,210,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
90,210,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,210,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
95,200,California,Diamond Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
93,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,200,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
93,200,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
94,200,California,Diamond Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
94,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,200,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,Riesling
91,200,California,Diamond Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
90,200,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
95,200,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
93,200,California,Napa Valley,Napa,Virginie Boone,Merlot
90,200,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,199,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,199,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,195,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,195,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
90,190,California,Spring Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
88,190,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
88,190,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,190,California,Mount Veeder,Napa,Virginie Boone,Cabernet Sauvignon
94,185,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
95,185,California,Napa Valley,Napa,Jim Gordon,Cabernet Sauvignon
92,185,California,Yountville,Napa,Virginie Boone,Cabernet Sauvignon
95,185,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,185,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
98,185,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
95,185,California,Happy Canyon of Santa Barbara,Central Coast,Matt Kettmann,Red Blend
94,180,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
90,180,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
90,180,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
90,180,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,175,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,Spring Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
93,175,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,Syrah
91,175,California,Diamond Mountain District,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
97,175,California,North Coast,North Coast,Jim Gordon,Champagne Blend
94,175,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
93,175,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
92,175,California,Mount Veeder,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,175,California,California,California Other,Jim Gordon,Syrah
94,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,175,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
97,175,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,175,California,North Coast,North Coast,Jim Gordon,Champagne Blend
92,170,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
93,170,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,168,California,Temecula Valley,South Coast,Matt Kettmann,Cabernet Sauvignon
95,165,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,165,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,165,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
95,165,California,Napa Valley,Napa,Jim Gordon,Cabernet Sauvignon
94,165,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,Syrah
95,165,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
95,165,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,165,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
85,165,California,Knights Valley,Sonoma,Virginie Boone,Red Blend
91,165,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
93,165,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,160,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,Cabernet Sauvignon
91,160,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,Cabernet Sauvignon
92,160,California,Mount Veeder,Napa,Virginie Boone,Cabernet Sauvignon
86,160,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,160,California,Calistoga,Napa,Virginie Boone,Cabernet Sauvignon
94,160,California,Napa Valley,Napa,Virginie Boone,Red Blend
93,160,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
96,160,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
92,160,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,160,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
98,155,California,Fort Ross-Seaview,Sonoma,Virginie Boone,Pinot Noir
95,155,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
95,155,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,155,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
96,155,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
91,155,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
93,155,California,Livermore Valley,Central Coast,Jim Gordon,Red Blend
92,155,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
90,155,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,155,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
90,155,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,155,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
93,150,California,Ballard Canyon,Central Coast,Matt Kettmann,Sangiovese
94,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,150,Oregon,McMinnville,Willamette Valley,Paul Gregutt,Pinot Noir
92,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,150,California,Coombsville,Napa,Virginie Boone,Cabernet Sauvignon
95,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,150,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
93,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,150,California,Howell Mountain,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Paso Robles,Central Coast,Matt Kettmann,Bordeaux-style Red Blend
92,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
90,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
93,150,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
93,150,California,Rutherford,Napa,Virginie Boone,Bordeaux-style Red Blend
92,150,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,Bordeaux-style Red Blend
96,150,California,North Coast,North Coast,Jim Gordon,Rosé
92,150,California,Rutherford,Napa,Virginie Boone,Bordeaux-style Red Blend
91,150,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
94,150,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
90,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
88,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
96,150,California,Sta. Rita Hills,Central Coast,Matt Kettmann,Mission
93,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
95,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
97,150,California,Fort Ross-Seaview,Sonoma,Virginie Boone,Pinot Noir
93,150,California,Calistoga,Napa,Virginie Boone,Bordeaux-style Red Blend
96,150,California,Adelaida District,Central Coast,Matt Kettmann,Cabernet Sauvignon
94,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
96,150,California,North Coast,North Coast,Jim Gordon,Champagne Blend
88,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Paso Robles,Central Coast,Matt Kettmann,Cabernet Sauvignon
94,150,California,Napa Valley,Napa,Virginie Boone,Red Blend
92,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
93,150,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
93,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
96,150,California,Fort Ross-Seaview,Sonoma,Virginie Boone,Pinot Noir
95,150,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
88,150,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
94,150,California,Alexander Valley,Sonoma,Virginie Boone,Malbec
88,150,California,Calistoga,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,150,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
92,150,California,Saddle Rock-Malibu,South Coast,Matt Kettmann,Cabernet Sauvignon
94,150,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,Bordeaux-style Red Blend
90,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
91,150,California,Mount Veeder,Napa,Virginie Boone,Cabernet Sauvignon
88,150,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
92,150,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
87,150,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,150,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
92,150,California,Atlas Peak,Napa,Virginie Boone,Cabernet Sauvignon
94,150,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
94,150,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,150,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
94,150,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
93,150,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,Bordeaux-style Red Blend
93,149,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,145,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,145,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
94,145,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
93,145,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,145,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
92,145,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
92,145,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
94,145,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
91,145,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,145,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,145,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,145,California,Livermore Valley,Central Coast,Virginie Boone,Bordeaux-style Red Blend
93,145,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
93,145,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
91,145,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
95,140,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,Bordeaux-style Red Blend
93,140,Washington,Red Mountain,Columbia Valley,Paul Gregutt,Cabernet Sauvignon
92,140,California,Sonoma-Napa,Napa-Sonoma,Virginie Boone,Cabernet Sauvignon
90,140,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
92,140,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
96,140,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,Syrah
87,140,California,Chalk Hill,Sonoma,Virginie Boone,Cabernet Sauvignon
91,140,California,Napa Valley,Napa,Virginie Boone,Cabernet Franc
98,140,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,Syrah
90,140,California,Amador County,Sierra Foothills,Virginie Boone,Mission
94,140,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,Bordeaux-style Red Blend
88,140,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
96,140,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,Syrah
96,140,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,Syrah
93,140,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,Bordeaux-style Red Blend
97,140,Washington,Washington,Washington Other,Paul Gregutt,Syrah
95,140,California,Napa Valley,Napa,Virginie Boone,Red Blend
90,140,California,Sonoma County-Napa County,Napa-Sonoma,Virginie Boone,Claret
93,138,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,136,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
92,135,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
93,135,California,Yountville,Napa,Virginie Boone,Cabernet Sauvignon
91,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
96,135,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,Bordeaux-style Red Blend
91,135,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
89,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
89,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
88,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
91,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
94,135,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
93,135,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,Red Blend
92,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
91,135,California,Sonoma County-Napa County,Napa-Sonoma,Virginie Boone,Claret
94,135,California,Livermore Valley,Central Coast,Virginie Boone,Red Blend
90,135,California,Sonoma County-Napa County,Napa-Sonoma,Virginie Boone,Cabernet Sauvignon
90,135,California,Sonoma County-Napa County,Napa-Sonoma,Virginie Boone,Claret
93,135,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,135,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,Cabernet Sauvignon
90,135,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
88,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,135,California,Napa County-Sonoma County,Napa-Sonoma,Virginie Boone,Cabernet Sauvignon
94,135,California,Diamond Mountain District,Napa,Virginie Boone,Bordeaux-style Red Blend
91,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
93,135,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,Cabernet Sauvignon
90,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
90,135,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,135,California,Diamond Mountain District,Napa,Virginie Boone,Bordeaux-style Red Blend
94,135,California,Napa Valley,Napa,Virginie Boone,Red Blend
93,135,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
93,130,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
93,130,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
92,130,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
83,130,California,Knights Valley,Sonoma,Virginie Boone,Cabernet Sauvignon
91,130,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,130,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
94,130,California,Napa Valley,Napa,Virginie Boone,Chardonnay
91,130,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,130,California,Napa Valley,Napa,Virginie Boone,Chardonnay
91,130,California,Napa Valley,Napa,Virginie Boone,Cabernet Franc
91,129,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
91,129,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
88,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
87,125,California,Central Coast,Central Coast,Matt Kettmann,Syrah
88,125,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,Cabernet Sauvignon
93,125,California,Calistoga,Napa,Virginie Boone,Cabernet Sauvignon
93,125,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,Bordeaux-style Red Blend
91,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,125,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
94,125,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,Pinot Noir
85,125,California,Howell Mountain,Napa,Virginie Boone,Cabernet Sauvignon
88,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
93,125,California,Fort Ross-Seaview,Sonoma,Virginie Boone,Pinot Noir
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
94,125,California,Napa Valley,Napa,Jim Gordon,Cabernet Sauvignon
95,125,California,Edna Valley,Central Coast,Matt Kettmann,Pinot Noir
86,125,California,Howell Mountain,Napa,Virginie Boone,Cabernet Sauvignon
84,125,California,Sonoma Valley,Sonoma,Virginie Boone,Bordeaux-style Red Blend
93,125,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Chardonnay
91,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
90,125,California,Yountville,Napa,Virginie Boone,Cabernet Sauvignon
91,125,California,Sonoma Valley,Sonoma,Virginie Boone,Bordeaux-style Red Blend
92,125,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
92,125,California,Sonoma County,Sonoma,Virginie Boone,Cabernet Sauvignon
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
87,125,Oregon,Oregon,Oregon Other,Paul Gregutt,Cabernet Sauvignon
93,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
93,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Chardonnay
95,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
96,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Chardonnay
92,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
93,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,125,California,Central Coast,Central Coast,Matt Kettmann,Red Blend
86,125,California,Howell Mountain,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
91,125,Washington,Red Mountain,Columbia Valley,Paul Gregutt,Cabernet Sauvignon
91,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
91,125,California,Yountville,Napa,Virginie Boone,Cabernet Sauvignon
94,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
94,125,California,Paso Robles,Central Coast,Matt Kettmann,Cabernet Sauvignon
91,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
88,125,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
92,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
90,125,California,Howell Mountain,Napa,Virginie Boone,Bordeaux-style Red Blend
94,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,125,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,Pinot Noir
95,125,California,Paso Robles,Central Coast,Matt Kettmann,Cabernet Sauvignon
90,125,California,Oakville,Napa,Virginie Boone,Cabernet Sauvignon
90,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Pinot Noir
94,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Oakville,Napa,Virginie Boone,Cabernet Franc
93,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Chardonnay
86,125,California,St. Helena,Napa,Virginie Boone,Cabernet Sauvignon
95,125,California,Alexander Valley,Sonoma,Virginie Boone,Malbec
97,125,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,Red Blend
92,125,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,Chardonnay
90,125,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
87,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
95,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,125,California,Yountville,Napa,Virginie Boone,Cabernet Sauvignon
87,125,California,Calistoga,Napa,Virginie Boone,Cabernet Sauvignon
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,125,California,Napa Valley,Napa,Jim Gordon,Cabernet Sauvignon
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
92,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
92,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
93,125,California,El Pomar District,Central Coast,Matt Kettmann,Cabernet Sauvignon
91,125,California,Oakville,Napa,Virginie Boone,Bordeaux-style Red Blend
93,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Stags Leap District,Napa,Virginie Boone,Cabernet Sauvignon
91,125,California,Napa Valley,Napa,Virginie Boone,Bordeaux-style Red Blend
91,125,California,Santa Maria Valley,Central Coast,Matt Kettmann,Pinot Noir
92,125,California,Coombsville,Napa,Virginie Boone,Cabernet Sauvignon
93,125,California,Mount Veeder,Napa,Virginie Boone,Cabernet Sauvignon
90,125,California,Napa Valley,Napa,Virginie Boone,Cabernet Sauvignon
91,125,California,Rutherford,Napa,Virginie Boone,Cabernet Sauvignon
