region,edad,estado_civil,ingreso_mensual,fact_exp
Región de La Araucanía,41,Conviviente o pareja sin acuerdo de unión civil,1300000,59
Región de La Araucanía,64,Separado(a),1500000,60
Región de Aysén del Gral. Carlos Ibáñez del Campo,21,Soltero(a),318572,33
Región de Valparaíso,59,Separado(a),320000,103
Región Metropolitana de Santiago,26,Soltero(a),1200000,58
Región del Biobío,25,Soltero(a),1200000,61
Región del Libertador Gral. Bernardo O'Higgins,41,Casado(a),320000,98
Región de Tarapacá,37,Soltero(a),290000,63
Región Metropolitana de Santiago,34,Conviviente o pareja sin acuerdo de unión civil,326500,495
Región Metropolitana de Santiago,79,Divorciado (a),190000,87
Región de Coquimbo,49,Soltero(a),320000,155
Región Metropolitana de Santiago,34,Soltero(a),1300000,218
Región de Los Lagos,63,Casado(a),350000,44
Región de Aysén del Gral. Carlos Ibáñez del Campo,33,Conviviente o pareja sin acuerdo de unión civil,850000,20
Región Metropolitana de Santiago,57,Soltero(a),265000,363
Región del Biobío,25,Soltero(a),260000,97
Región Metropolitana de Santiago,29,Casado(a),550000,147
Región Metropolitana de Santiago,45,Conviviente o pareja sin acuerdo de unión civil,1200000,190
Región de Atacama,39,Conviviente o pareja sin acuerdo de unión civil,1200000,71
Región de Arica y Parinacota,56,Separado(a),320000,101
Región de Los Ríos,33,Soltero(a),847000,42
Región del Libertador Gral. Bernardo O'Higgins,33,Conviviente o pareja sin acuerdo de unión civil,650000,128
Región del Maule,29,Soltero(a),380000,175
Región de Coquimbo,27,Soltero(a),290000,109
Región Metropolitana de Santiago,27,Conviviente o pareja sin acuerdo de unión civil,1700000,208
Región Metropolitana de Santiago,35,Casado(a),710000,254
Región de Valparaíso,24,Soltero(a),320000,26
Región del Libertador Gral. Bernardo O'Higgins,17,Soltero(a),30000,83
Región de Antofagasta,29,Casado(a),1300000,98
Región de Los Lagos,59,Soltero(a),263000,106
Región Metropolitana de Santiago,37,Conviviente o pareja sin acuerdo de unión civil,550000,122
Región Metropolitana de Santiago,41,Divorciado (a),2400000,113
Región de Arica y Parinacota,58,Casado(a),1300000,16
Región del Libertador Gral. Bernardo O'Higgins,28,Soltero(a),950000,99
Región Metropolitana de Santiago,58,Separado(a),320000,149
Región Metropolitana de Santiago,37,Casado(a),1700000,279
Región del Maule,25,Soltero(a),220000,128
Región del Biobío,32,Conviviente o pareja sin acuerdo de unión civil,330000,112
Región de Los Lagos,26,Conviviente o pareja sin acuerdo de unión civil,310000,75
Región de Coquimbo,33,Casado(a),850000,51
Región de Atacama,35,Soltero(a),1200000,21
Región de Aysén del Gral. Carlos Ibáñez del Campo,53,Casado(a),1200000,18
Región de Los Lagos,28,Casado(a),490000,227
Región Metropolitana de Santiago,57,Soltero(a),470000,193
Región de Los Lagos,65,Casado(a),280000,53
Región Metropolitana de Santiago,49,Conviviente o pareja sin acuerdo de unión civil,250000,221
Región de La Araucanía,41,Conviviente o pareja sin acuerdo de unión civil,360000,68
Región de Los Lagos,33,Conviviente o pareja sin acuerdo de unión civil,3500000,123
Región de Antofagasta,62,Soltero(a),380000,91
Región Metropolitana de Santiago,40,Casado(a),350000,715
Región Metropolitana de Santiago,24,Soltero(a),250000,91
Región Metropolitana de Santiago,49,Separado(a),160000,212
Región Metropolitana de Santiago,54,Casado(a),650000,179
Región Metropolitana de Santiago,34,Casado(a),361000,267
Región de Valparaíso,32,Separado(a),680000,101
Región de Los Lagos,50,Casado(a),320000,72
Región de Valparaíso,35,Separado(a),325000,104
Región de Arica y Parinacota,33,Soltero(a),380000,33
Región Metropolitana de Santiago,58,Casado(a),430000,260
Región Metropolitana de Santiago,32,Casado(a),327000,142
Región del Libertador Gral. Bernardo O'Higgins,53,Conviviente o pareja sin acuerdo de unión civil,60000,8
Región de Coquimbo,22,Soltero(a),150000,90
Región de Valparaíso,69,Separado(a),250000,128
Región de Los Lagos,61,Divorciado (a),164000,90
Región Metropolitana de Santiago,31,Casado(a),340000,123
Región de Valparaíso,26,Soltero(a),320000,69
Región Metropolitana de Santiago,34,Conviviente o pareja sin acuerdo de unión civil,1500000,362
Región de La Araucanía,71,Casado(a),326000,74
Región del Libertador Gral. Bernardo O'Higgins,18,Soltero(a),80000,57
Región de Coquimbo,31,Soltero(a),350000,56
Región del Biobío,52,Casado(a),650000,119
Región de Atacama,48,Casado(a),1200000,44
Región del Biobío,52,Soltero(a),450000,140
Región de Antofagasta,59,Casado(a),380000,44
Región de La Araucanía,34,Soltero(a),340000,96
Región de Aysén del Gral. Carlos Ibáñez del Campo,42,Separado(a),350000,20
Región del Maule,38,Soltero(a),350000,57
Región del Maule,51,Casado(a),350000,206
Región del Biobío,62,Casado(a),250000,80
Región Metropolitana de Santiago,25,Conviviente o pareja sin acuerdo de unión civil,787000,274
Región de Valparaíso,60,Casado(a),70000,59
Región Metropolitana de Santiago,27,Conviviente o pareja sin acuerdo de unión civil,1300000,128
Región del Biobío,34,Conviviente o pareja sin acuerdo de unión civil,950000,98
Región del Libertador Gral. Bernardo O'Higgins,56,Casado(a),320000,66
Región de Valparaíso,50,Separado(a),320000,14
Región de Ñuble,57,Casado(a),1200000,117
Región de Antofagasta,32,Conviviente o pareja sin acuerdo de unión civil,128000,97
Región del Libertador Gral. Bernardo O'Higgins,71,Soltero(a),320000,70
Región del Maule,55,Casado(a),460585,92
Región de Ñuble,27,Soltero(a),370000,112
Región de Valparaíso,35,Conviviente o pareja sin acuerdo de unión civil,220000,160
Región de Valparaíso,60,Casado(a),370000,99
Región Metropolitana de Santiago,27,Soltero(a),1300000,135
Región de Tarapacá,44,Conviviente o pareja sin acuerdo de unión civil,1800000,23
Región Metropolitana de Santiago,55,Casado(a),320000,24
Región del Biobío,62,Divorciado (a),326000,137
Región de Antofagasta,53,Conviviente o pareja sin acuerdo de unión civil,750000,83
Región de Magallanes y de la Antártica Chilena,57,Casado(a),580000,26
Región Metropolitana de Santiago,39,Casado(a),2700000,171
Región Metropolitana de Santiago,36,Casado(a),1600000,148
Región del Libertador Gral. Bernardo O'Higgins,44,Conviviente o pareja sin acuerdo de unión civil,250000,138
Región de La Araucanía,27,Soltero(a),350000,62
Región Metropolitana de Santiago,36,Conviviente o pareja sin acuerdo de unión civil,2100000,139
Región de Magallanes y de la Antártica Chilena,45,Conviviente o pareja sin acuerdo de unión civil,545000,41
Región de Antofagasta,59,Separado(a),420000,129
Región de Magallanes y de la Antártica Chilena,32,Conviviente o pareja sin acuerdo de unión civil,326500,46
Región Metropolitana de Santiago,21,Soltero(a),150000,260
Región de Los Lagos,21,Soltero(a),320000,46
Región del Libertador Gral. Bernardo O'Higgins,36,Conviviente o pareja sin acuerdo de unión civil,2100000,70
Región del Maule,27,Soltero(a),190000,56
Región Metropolitana de Santiago,59,Separado(a),321000,138
Región del Biobío,48,Soltero(a),350000,172
Región de Atacama,33,Casado(a),980000,64
Región Metropolitana de Santiago,28,Soltero(a),350000,185
Región Metropolitana de Santiago,42,Separado(a),160000,124
Región de Aysén del Gral. Carlos Ibáñez del Campo,47,Viudo(a),380000,24
Región Metropolitana de Santiago,37,Soltero(a),350000,162
Región Metropolitana de Santiago,59,Conviviente o pareja sin acuerdo de unión civil,320000,162
Región de Aysén del Gral. Carlos Ibáñez del Campo,54,Casado(a),130000,21
Región de Tarapacá,49,Casado(a),460000,30
Región de Antofagasta,57,Separado(a),460000,10
Región Metropolitana de Santiago,29,Soltero(a),170000,256
Región Metropolitana de Santiago,25,Soltero(a),245000,166
Región del Biobío,34,Soltero(a),380000,87
Región de Coquimbo,33,Conviviente o pareja sin acuerdo de unión civil,480000,110
Región Metropolitana de Santiago,57,Conviviente o pareja sin acuerdo de unión civil,365500,281
Región Metropolitana de Santiago,30,Soltero(a),326500,334
Región de Tarapacá,49,Conviviente o pareja sin acuerdo de unión civil,462000,43
Región de Atacama,49,Soltero(a),450000,25
Región de Los Ríos,44,Conviviente o pareja sin acuerdo de unión civil,326500,49
Región del Biobío,32,Soltero(a),350000,77
Región Metropolitana de Santiago,28,Conviviente o pareja sin acuerdo de unión civil,320000,118
Región de Tarapacá,47,Casado(a),480000,34
Región de La Araucanía,43,Casado(a),580000,72
Región Metropolitana de Santiago,61,Soltero(a),144000,93
Región de Coquimbo,20,Soltero(a),260000,94
Región de Magallanes y de la Antártica Chilena,22,Soltero(a),420000,26
Región del Biobío,29,Casado(a),470000,102
Región de Aysén del Gral. Carlos Ibáñez del Campo,48,Conviviente o pareja sin acuerdo de unión civil,2200000,20
Región de Magallanes y de la Antártica Chilena,39,Casado(a),1500000,19
Región de La Araucanía,49,Conviviente o pareja sin acuerdo de unión civil,460000,55
Región de Atacama,27,Soltero(a),550000,35
Región Metropolitana de Santiago,54,Separado(a),538000,79
Región del Maule,41,Conviviente o pareja sin acuerdo de unión civil,450000,64
Región de Antofagasta,24,Soltero(a),180000,88
Región del Biobío,33,Soltero(a),312000,60
Región de Los Lagos,42,Casado(a),320000,73
Región de Arica y Parinacota,47,Casado(a),350000,26
Región de Antofagasta,23,Soltero(a),320000,169
Región Metropolitana de Santiago,59,Casado(a),380000,448
Región del Biobío,36,Soltero(a),320000,89
Región de Aysén del Gral. Carlos Ibáñez del Campo,44,Conviviente o pareja sin acuerdo de unión civil,1200000,23
Región del Biobío,54,Separado(a),350000,164
Región del Libertador Gral. Bernardo O'Higgins,27,Soltero(a),420000,47
Región de La Araucanía,50,Casado(a),310000,103
Región de Valparaíso,61,Casado(a),1700000,95
Región de La Araucanía,51,Soltero(a),320000,70
Región del Maule,49,Conviviente o pareja sin acuerdo de unión civil,450000,71
Región Metropolitana de Santiago,31,Soltero(a),320000,301
Región de Valparaíso,38,Casado(a),850000,194
Región del Maule,28,Soltero(a),530000,57
Región de Coquimbo,36,Casado(a),1200000,88
Región Metropolitana de Santiago,34,Soltero(a),450000,104
Región de Aysén del Gral. Carlos Ibáñez del Campo,28,Divorciado (a),260000,15
Región de Los Lagos,40,Conviviente o pareja sin acuerdo de unión civil,310000,73
Región de Coquimbo,33,Separado(a),320000,63
Región Metropolitana de Santiago,59,Casado(a),340000,214
Región de La Araucanía,27,Conviviente o pareja sin acuerdo de unión civil,420000,76
Región de Tarapacá,35,Casado(a),290000,39
Región de Magallanes y de la Antártica Chilena,57,Divorciado (a),2500000,37
Región del Libertador Gral. Bernardo O'Higgins,24,Soltero(a),60000,62
Región del Biobío,33,Soltero(a),380000,69
Región de Valparaíso,73,Casado(a),330000,98
Región de Valparaíso,23,Conviviente o pareja sin acuerdo de unión civil,620000,126
Región del Libertador Gral. Bernardo O'Higgins,46,Divorciado (a),320000,25
Región de Antofagasta,43,Casado(a),320500,54
Región de Valparaíso,29,Conviviente o pareja sin acuerdo de unión civil,350000,71
Región Metropolitana de Santiago,41,Soltero(a),368000,239
Región de Aysén del Gral. Carlos Ibáñez del Campo,47,Casado(a),320000,20
Región Metropolitana de Santiago,31,Soltero(a),670000,100
Región de Valparaíso,39,Soltero(a),220000,98
Región de La Araucanía,68,Casado(a),320000,50
Región Metropolitana de Santiago,55,Casado(a),250000,94
Región de Coquimbo,21,Soltero(a),360000,75
Región del Biobío,34,Conviviente o pareja sin acuerdo de unión civil,460000,50
Región de Antofagasta,30,Soltero(a),2200000,82
Región de Aysén del Gral. Carlos Ibáñez del Campo,33,Conviviente o pareja sin acuerdo de unión civil,2200000,25
Región Metropolitana de Santiago,50,Soltero(a),230000,202
Región de Valparaíso,33,Conviviente o pareja sin acuerdo de unión civil,450000,76
Región Metropolitana de Santiago,42,Soltero(a),4500000,450
Región de Arica y Parinacota,64,Soltero(a),301000,30
Región Metropolitana de Santiago,51,Casado(a),430000,176
Región de La Araucanía,29,Soltero(a),680000,134
Región Metropolitana de Santiago,47,Divorciado (a),1200000,208
Región Metropolitana de Santiago,31,Soltero(a),2150000,97
Región de Antofagasta,52,Separado(a),750000,78
Región Metropolitana de Santiago,58,Soltero(a),450000,260
Región del Maule,36,Soltero(a),320000,70
Región de Antofagasta,36,Soltero(a),315000,103
Región del Biobío,52,Casado(a),550000,78
Región de Valparaíso,40,Casado(a),780000,126
Región de Aysén del Gral. Carlos Ibáñez del Campo,39,Divorciado (a),540000,20
Región de Magallanes y de la Antártica Chilena,37,Soltero(a),1100000,128
Región de Arica y Parinacota,33,Conviviente o pareja sin acuerdo de unión civil,60000,28
Región Metropolitana de Santiago,20,Soltero(a),60000,208
Región Metropolitana de Santiago,35,Soltero(a),1500000,254
Región de Los Lagos,35,Casado(a),320000,83
Región de Arica y Parinacota,22,Conviviente o pareja sin acuerdo de unión civil,320000,26
Región Metropolitana de Santiago,61,Divorciado (a),1200000,267
Región de Valparaíso,32,Conviviente o pareja sin acuerdo de unión civil,150000,121
Región del Maule,42,Separado(a),320500,33
Región de Los Lagos,60,Soltero(a),360000,85
Región del Maule,47,Casado(a),320000,74
Región de Los Ríos,29,Soltero(a),150000,53
Región de Valparaíso,36,Casado(a),450000,9
Región del Biobío,32,Conviviente o pareja sin acuerdo de unión civil,1200000,74
Región de Los Ríos,58,Casado(a),280000,34
Región Metropolitana de Santiago,29,Conviviente o pareja sin acuerdo de unión civil,320000,192
Región de Coquimbo,24,Soltero(a),250000,14
Región de Valparaíso,70,Separado(a),301000,143
Región de Magallanes y de la Antártica Chilena,61,Divorciado (a),320000,24
Región de Los Lagos,50,Soltero(a),182000,106
Región de Los Lagos,23,Conviviente o pareja sin acuerdo de unión civil,350000,125
Región del Biobío,44,Soltero(a),433000,106
Región de Magallanes y de la Antártica Chilena,33,Soltero(a),450000,23
Región de Los Ríos,33,Conviviente o pareja sin acuerdo de unión civil,450000,28
Región de Aysén del Gral. Carlos Ibáñez del Campo,43,Soltero(a),312000,17
Región de Los Lagos,55,Soltero(a),480000,58
Región de Los Lagos,41,Soltero(a),1450000,800
Región Metropolitana de Santiago,51,Casado(a),1050000,231
Región de Tarapacá,39,Casado(a),2500000,106
Región Metropolitana de Santiago,72,Viudo(a),325000,161
Región de Aysén del Gral. Carlos Ibáñez del Campo,43,Casado(a),320000,25
Región de Ñuble,26,Conviviente o pareja sin acuerdo de unión civil,320000,61
Región Metropolitana de Santiago,58,Separado(a),530000,459
Región Metropolitana de Santiago,56,Casado(a),350000,180
Región Metropolitana de Santiago,37,Conviviente o pareja sin acuerdo de unión civil,326500,183
Región Metropolitana de Santiago,42,Conviviente o pareja sin acuerdo de unión civil,320000,141
Región Metropolitana de Santiago,32,Casado(a),396000,258
Región del Libertador Gral. Bernardo O'Higgins,35,Casado(a),350000,89
Región del Biobío,38,Casado(a),301000,6
Región de Los Lagos,47,Casado(a),350000,45
Región de Coquimbo,57,Casado(a),370000,24
Región Metropolitana de Santiago,31,Conviviente civil (con acuerdo de unión civil),380000,236
Región de Antofagasta,32,Conviviente o pareja sin acuerdo de unión civil,490000,63
Región de Los Ríos,79,Casado(a),850000,53
Región Metropolitana de Santiago,40,Casado(a),1800000,169
Región del Biobío,30,Soltero(a),930000,82
Región de Valparaíso,48,Casado(a),1500000,93
Región del Libertador Gral. Bernardo O'Higgins,28,Conviviente o pareja sin acuerdo de unión civil,344000,69
Región Metropolitana de Santiago,26,Soltero(a),350000,207
Región de Antofagasta,44,Conviviente o pareja sin acuerdo de unión civil,1200000,90
Región de Magallanes y de la Antártica Chilena,57,Viudo(a),780000,21
Región de Coquimbo,37,Conviviente o pareja sin acuerdo de unión civil,380000,68
Región del Maule,34,Soltero(a),350000,94
Región Metropolitana de Santiago,53,Casado(a),360000,122
Región de Valparaíso,47,Casado(a),132000,104
Región de Valparaíso,39,Soltero(a),326000,103
Región Metropolitana de Santiago,29,Soltero(a),2600000,354
Región de Tarapacá,60,Soltero(a),320000,40
Región de Antofagasta,66,Soltero(a),388000,68
Región de Atacama,40,Separado(a),1500000,56
Región del Maule,51,Conviviente o pareja sin acuerdo de unión civil,250000,20
Región del Biobío,30,Casado(a),510000,55
Región Metropolitana de Santiago,30,Soltero(a),270000,135
Región de Antofagasta,28,Conviviente o pareja sin acuerdo de unión civil,405000,106
Región del Biobío,32,Casado(a),820000,26
Región del Biobío,52,Separado(a),250000,86
Región Metropolitana de Santiago,35,Soltero(a),320000,322
Región de Coquimbo,55,Casado(a),2300000,88
Región de Coquimbo,32,Conviviente o pareja sin acuerdo de unión civil,915000,164
Región Metropolitana de Santiago,30,Soltero(a),110000,326
Región de Valparaíso,60,Divorciado (a),70000,94
Región de Valparaíso,63,Casado(a),60000,80
Región Metropolitana de Santiago,40,Casado(a),3500000,185
Región Metropolitana de Santiago,55,Separado(a),1400000,533
Región del Libertador Gral. Bernardo O'Higgins,41,Casado(a),280000,115
Región Metropolitana de Santiago,43,Casado(a),450000,218
Región Metropolitana de Santiago,26,Conviviente o pareja sin acuerdo de unión civil,450000,191
Región del Biobío,32,Soltero(a),670000,119
Región Metropolitana de Santiago,24,Conviviente o pareja sin acuerdo de unión civil,350000,44
Región Metropolitana de Santiago,27,Soltero(a),450000,197
Región del Maule,59,Casado(a),380000,138
Región de Los Lagos,51,Divorciado (a),450000,63
Región de Ñuble,42,Conviviente o pareja sin acuerdo de unión civil,250000,116
Región de Los Lagos,51,Soltero(a),6000,75
Región Metropolitana de Santiago,52,Soltero(a),250000,284
Región Metropolitana de Santiago,26,Soltero(a),320000,203
Región del Libertador Gral. Bernardo O'Higgins,26,Soltero(a),316000,119
Región de Aysén del Gral. Carlos Ibáñez del Campo,49,Casado(a),1400000,20
Región del Biobío,28,Casado(a),310000,75
Región del Libertador Gral. Bernardo O'Higgins,23,Soltero(a),320000,73
Región de Ñuble,33,Soltero(a),310000,111
Región de Valparaíso,66,Casado(a),580000,146
Región de Los Ríos,50,Casado(a),1200000,44
Región del Maule,24,Conviviente o pareja sin acuerdo de unión civil,320000,104
Región de Antofagasta,47,Casado(a),1800000,51
Región de Arica y Parinacota,29,Soltero(a),410000,26
Región del Maule,45,Casado(a),480000,56
Región Metropolitana de Santiago,38,Conviviente o pareja sin acuerdo de unión civil,618000,348
Región Metropolitana de Santiago,31,Casado(a),290000,272
Región Metropolitana de Santiago,26,Soltero(a),350000,113
Región de Coquimbo,68,Soltero(a),270000,95
Región del Biobío,49,Soltero(a),1350000,77
Región de Aysén del Gral. Carlos Ibáñez del Campo,18,Soltero(a),320000,20
Región de Magallanes y de la Antártica Chilena,42,Casado(a),1350000,41
Región Metropolitana de Santiago,23,Soltero(a),450000,159
Región de Los Ríos,55,Casado(a),65000,37
Región de Valparaíso,63,Casado(a),150000,433
Región de Ñuble,62,Casado(a),320000,145
Región Metropolitana de Santiago,48,Casado(a),150000,148
Región de Tarapacá,37,Casado(a),1600000,48
Región de Antofagasta,47,Soltero(a),80000,50
Región Metropolitana de Santiago,28,Conviviente o pareja sin acuerdo de unión civil,160000,305
Región de Ñuble,52,Divorciado (a),320000,114
Región de Coquimbo,43,Conviviente o pareja sin acuerdo de unión civil,560000,109
Región de Arica y Parinacota,40,Casado(a),4500000,39
Región de Valparaíso,47,Casado(a),650000,108
Región de Antofagasta,63,Viudo(a),2500000,81
Región de Aysén del Gral. Carlos Ibáñez del Campo,64,Soltero(a),1500000,25
Región de Tarapacá,45,Casado(a),320000,82
Región de Valparaíso,61,Casado(a),750000,124
Región del Maule,55,Conviviente o pareja sin acuerdo de unión civil,480000,78
Región de Tarapacá,42,Conviviente o pareja sin acuerdo de unión civil,280000,43
Región Metropolitana de Santiago,57,Casado(a),1500000,193
Región de Los Ríos,50,Casado(a),320000,43
Región Metropolitana de Santiago,64,Casado(a),50000,304
Región de Coquimbo,47,Casado(a),890000,126
Región de Arica y Parinacota,31,Soltero(a),450000,41
Región del Maule,27,Soltero(a),310000,101
Región de Los Lagos,36,Separado(a),820000,87
Región de Arica y Parinacota,41,Conviviente o pareja sin acuerdo de unión civil,750000,21
Región de Arica y Parinacota,56,Soltero(a),360000,26
Región del Biobío,22,Soltero(a),350000,92
Región de Tarapacá,45,Soltero(a),1800000,50
Región de Valparaíso,48,Conviviente o pareja sin acuerdo de unión civil,120000,91
Región de La Araucanía,40,Divorciado (a),920000,108
Región de Coquimbo,54,Separado(a),301000,53
Región de Atacama,46,Soltero(a),280000,25
Región de Valparaíso,44,Conviviente o pareja sin acuerdo de unión civil,220000,51
Región de Tarapacá,61,Casado(a),540000,42
Región de Arica y Parinacota,54,Conviviente o pareja sin acuerdo de unión civil,150000,32
Región del Libertador Gral. Bernardo O'Higgins,37,Soltero(a),370000,72
Región de Tarapacá,21,Soltero(a),70000,36
Región de Tarapacá,25,Conviviente o pareja sin acuerdo de unión civil,319000,67
Región de Valparaíso,50,Casado(a),24000,157
Región Metropolitana de Santiago,30,Soltero(a),150000,212
Región Metropolitana de Santiago,68,Casado(a),280000,192
Región de Tarapacá,73,Conviviente o pareja sin acuerdo de unión civil,320000,47
Región del Maule,42,Soltero(a),360000,85
Región de Antofagasta,36,Casado(a),1300000,138
Región Metropolitana de Santiago,34,Conviviente o pareja sin acuerdo de unión civil,1400000,289
Región de Valparaíso,46,Casado(a),1600000,174
Región de Valparaíso,36,Conviviente o pareja sin acuerdo de unión civil,310000,66
Región Metropolitana de Santiago,45,Casado(a),1800000,129
Región del Maule,35,Casado(a),650000,313
Región Metropolitana de Santiago,57,Casado(a),520000,193
Región Metropolitana de Santiago,57,Casado(a),450000,155
Región del Libertador Gral. Bernardo O'Higgins,45,Viudo(a),301000,60
Región del Maule,28,Casado(a),150000,71
Región Metropolitana de Santiago,32,Soltero(a),182000,191
Región de Los Lagos,24,Soltero(a),250000,53
Región de Aysén del Gral. Carlos Ibáñez del Campo,49,Casado(a),853000,25
Región Metropolitana de Santiago,59,Separado(a),290000,221
Región Metropolitana de Santiago,54,Casado(a),450000,52
Región de Atacama,36,Conviviente o pareja sin acuerdo de unión civil,310000,45
Región del Maule,42,Conviviente o pareja sin acuerdo de unión civil,380000,102
Región de Tarapacá,35,Soltero(a),1200000,29
Región de Arica y Parinacota,33,Conviviente o pareja sin acuerdo de unión civil,410000,41
Región Metropolitana de Santiago,41,Soltero(a),350000,336
Región del Maule,43,Casado(a),350000,75
Región de Aysén del Gral. Carlos Ibáñez del Campo,36,Conviviente o pareja sin acuerdo de unión civil,1300000,22
Región del Maule,47,Casado(a),150000,89
Región del Maule,31,Conviviente o pareja sin acuerdo de unión civil,350000,119
Región de Los Ríos,18,Soltero(a),320000,281
Región del Libertador Gral. Bernardo O'Higgins,19,Soltero(a),380000,91
Región del Libertador Gral. Bernardo O'Higgins,43,Casado(a),480000,380
Región de Coquimbo,55,Soltero(a),360000,91
Región del Libertador Gral. Bernardo O'Higgins,67,Conviviente o pareja sin acuerdo de unión civil,315000,78
Región del Maule,49,Separado(a),140000,308
Región de Antofagasta,55,Casado(a),424000,60
Región Metropolitana de Santiago,42,Conviviente o pareja sin acuerdo de unión civil,1800000,103
Región de Los Lagos,33,Soltero(a),687000,81
Región del Biobío,51,Soltero(a),320000,56
Región del Libertador Gral. Bernardo O'Higgins,59,Conviviente o pareja sin acuerdo de unión civil,1300000,61
Región de Valparaíso,38,Soltero(a),850000,133
Región de Los Ríos,27,Casado(a),350000,34
Región de Tarapacá,36,Conviviente o pareja sin acuerdo de unión civil,1799000,141
Región del Maule,30,Casado(a),150000,95
Región de Magallanes y de la Antártica Chilena,21,Soltero(a),326500,39
Región del Libertador Gral. Bernardo O'Higgins,54,Casado(a),360000,62
Región de Antofagasta,45,Viudo(a),80000,76
Región de Atacama,39,Casado(a),320000,32
Región de La Araucanía,31,Soltero(a),1046000,94
Región del Libertador Gral. Bernardo O'Higgins,22,Soltero(a),250000,60
Región del Libertador Gral. Bernardo O'Higgins,26,Soltero(a),280000,64
Región de Ñuble,25,Conviviente o pareja sin acuerdo de unión civil,320000,69
Región del Biobío,49,Casado(a),260000,45
Región del Maule,49,Casado(a),320000,86
Región de Tarapacá,48,Soltero(a),220000,31
Región del Maule,41,Separado(a),410000,70
Región de Atacama,33,Soltero(a),320000,39
Región Metropolitana de Santiago,25,Soltero(a),321000,288
Región de Los Lagos,35,Casado(a),326000,63
Región de Tarapacá,33,Soltero(a),325000,51
Región de Antofagasta,44,Soltero(a),350000,69
Región de Valparaíso,29,Soltero(a),420000,36
Región de Los Lagos,65,Casado(a),25000,64
Región del Libertador Gral. Bernardo O'Higgins,34,Conviviente o pareja sin acuerdo de unión civil,340000,91
Región del Biobío,49,Casado(a),320000,61
Región Metropolitana de Santiago,58,Conviviente o pareja sin acuerdo de unión civil,222400,78
Región del Libertador Gral. Bernardo O'Higgins,33,Conviviente o pareja sin acuerdo de unión civil,2500000,55
Región de Aysén del Gral. Carlos Ibáñez del Campo,32,Separado(a),120000,27
Región de Los Ríos,63,Casado(a),490000,62
Región de Los Lagos,61,Divorciado (a),120000,81
Región Metropolitana de Santiago,30,Soltero(a),420000,237
Región del Biobío,22,Soltero(a),326000,84
Región Metropolitana de Santiago,51,Divorciado (a),280000,251
Región de Valparaíso,34,Casado(a),570000,138
Región del Biobío,43,Casado(a),330000,83
Región del Libertador Gral. Bernardo O'Higgins,26,Soltero(a),350000,98
Región Metropolitana de Santiago,47,Casado(a),650000,185
Región de Valparaíso,26,Conviviente o pareja sin acuerdo de unión civil,380000,83
Región de Los Ríos,25,Conviviente o pareja sin acuerdo de unión civil,340000,60
Región de Antofagasta,54,Soltero(a),1200000,74
Región de Tarapacá,40,Separado(a),140000,32
Región de La Araucanía,47,Separado(a),325000,148
Región de Antofagasta,54,Casado(a),350000,79
Región de La Araucanía,29,Soltero(a),380000,67
