serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,residential_type,non_use_code,assessor_remarks
201135,2020,03/09/2021,Griswold,473 PLAINFIELD RD,155330,159000,Single Family,25 - Other,RATIO
200987,2020,05/25/2021,Danbury,8 HICKORY ST,121600,145000,Single Family,25 - Other,I11192
201470,2020,09/02/2021,Danbury,5 CATHERINE ST,148300,425000,Single Family,07 - Change in Property,H11029
200047,2020,03/02/2021,East Granby,48 HEMLOCK ROAD,166100,200000,Single Family,25 - Other,"PP TOO LOW, RATIO TOO HIGH"
200161,2020,11/02/2020,Danbury,81-95 PARK AV 905,105400,255000,Condo,07 - Change in Property,H15124-49
200258,2020,11/23/2020,Danbury,32 COALPIT HILL RD #2,84200,181778,Condo,25 - Other,J16087-2
201071,2020,06/15/2021,Danbury,10-14 E FRANKLIN ST C-19,59500,189900,Condo,25 - Other,I13019-19
200901,2020,05/04/2021,Danbury,50 BOULEVARD DR,131100,78000,Single Family,25 - Other,RATIO TOO HIGH / D16053
200257,2020,11/23/2020,Danbury,32 COALPIT HILL RD #1,82400,181778,Condo,25 - Other,J16087-1
200396,2020,08/02/2021,Killingly,16 HILLSIDE DR,11410,51000,Single Family,22 - Money and Personal Property,MOBILE HOME
200019,2020,10/20/2020,Essex,146 SAYBROOK RD,219400,329000,Single Family,25 - Other,ESSEX
201205,2020,07/13/2021,Danbury,21 POCONO RD,159000,385000,Single Family,07 - Change in Property,M10052
201027,2020,06/07/2021,Danbury,55 BRENTWOOD CI,18200,518490,Condo,07 - Change in Property,B16001-69
200681,2020,03/04/2021,Danbury,157 SHELTER ROCK RD 2,112900,204712,Condo,25 - Other,L14113-2
200059,2020,10/13/2020,Danbury,147 BRENTWOOD CI,18200,544387,Condo,07 - Change in Property,B16001-23
201069,2020,06/15/2021,Danbury,16 E HAYESTOWN RD,137900,352500,Single Family,07 - Change in Property,I09120
200185,2020,11/09/2020,Danbury,2 VENTURA AV,168000,380000,Single Family,07 - Change in Property,H11066
200926,2020,05/11/2021,Danbury,44 JEANETTE RD,144300,339500,Single Family,07 - Change in Property,H08043
200264,2020,11/23/2020,Danbury,32 COALPIT HILL RD #9,84900,181778,Condo,25 - Other,J16087-9
200112,2020,12/10/2020,East Lyme,64 S WASHINGTON AVE,419720,1150000,Single Family,07 - Change in Property,WATERFRONT
200715,2020,07/26/2021,Glastonbury,8 COLEMAN RD,236600,604000,Single Family,07 - Change in Property,"Market sale, owner updated over 20 years. Some w permits, some w/out. Also second pc is share of a w"
200199,2020,11/10/2020,Danbury,14 WEST CROSS TR,26000,465408,Condo,07 - Change in Property,B16001-127
2020201,2020,05/03/2021,Ansonia,12 ADANTI AVE,112000,255000,Single Family,07 - Change in Property,"HIGH SALE, BUT VALID"
200317,2020,08/20/2021,Coventry,110 WANGUMBAUG DR,101900,325000,Single Family,07 - Change in Property,AND R/B/13
20524,2020,05/07/2021,East Hartford,57 SHAWNEE RD,16290,10000,Condo,25 - Other,MOBILE HOME
200033,2020,10/06/2020,Danbury,6 QUIEN ST,149800,396000,Two Family,07 - Change in Property,H15106
201310,2020,08/03/2021,Danbury,5 BEACH LA,192400,460000,Single Family,07 - Change in Property,I05033
201458,2020,09/02/2021,Danbury,43 KOHANZA ST #43,50000,155000,Condo,07 - Change in Property,H12033-11
200686,2020,08/09/2021,Branford,7 SUNRISE COVE,69300,221000,Single Family,25 - Other,COTTAGE ONLY/LAND PART OF ASSOCIATION
200127,2020,09/07/2021,East Granby,167 SOUTH MAIN STREET,145800,172000,Single Family,25 - Other,"PP TOO LOW, RATIO TOO HIGH"
200685,2020,04/14/2021,Bristol,325 PECK LN,87430,275000,Single Family,25 - Other,MOTIVATED SELLER
201236,2020,06/18/2021,Griswold,36-38 HILL ST,93660,270000,Two Family,07 - Change in Property,DUPLEX
200319,2020,08/18/2021,Colchester,63 SHAILOR HILL RD,61500,30000,Single Family,25 - Other,NOT ON MARKET
201078,2020,06/15/2021,Danbury,57 BRENTWOOD CI,18200,571653,Condo,07 - Change in Property,B16001-68
200259,2020,11/23/2020,Danbury,32 COALPIT HILL RD #3,87000,194000,Condo,25 - Other,J16087-3
2020363,2020,08/10/2021,Berlin,673 SPRUCE BROOK RD,144100,600000,Single Family,07 - Change in Property,SINGLE FAMILY W/APT
200747,2020,09/03/2021,Branford,11 HOWARD AVE,447800,1150000,Single Family,25 - Other,WATERVIEW
200054,2020,01/26/2021,Columbia,115 PINE STREET,251900,425000,Single Family,01 - Family,FAMILY SALE
201067,2020,06/15/2021,Danbury,29 TOPSTONE DR,141600,335000,Single Family,07 - Change in Property,K14211
200000374,2020,08/17/2021,Brookfield,9A NEW BRIDGE RD,303090,650000,Single Family,25 - Other,SOLD W/ 9 NEW BRIDGE RD
200853,2020,04/22/2021,Danbury,48 SOUTH ST,123400,315000,Single Family,07 - Change in Property,K15025
200389,2020,03/31/2021,Glastonbury,204 HUBBARD ST,216000,560000,Single Family,07 - Change in Property,"Market sale, owner updated over many years. Some w permits, some w/out."
201013,2020,10/20/2020,Griswold,829-831 VOLUNTOWN RD,112210,145000,Two Family,25 - Other,RATIO
200992,2020,05/26/2021,Danbury,15 SHERRY,169600,380000,Single Family,07 - Change in Property,I10059
200057,2020,10/08/2020,Danbury,14 SOUTH ST #6,152600,265000,Condo,25 - Other,K16126-6
200301,2020,11/30/2020,Danbury,2 COLBY LA,129600,305000,Single Family,07 - Change in Property,J15289
20039,2020,10/20/2020,Farmington,42 YORKSHIRE COURT,296090,559187,Condo,07 - Change in Property,new construction
200821,2020,04/15/2021,Danbury,151 SHELTER ROCK RD #5,126900,210000,Condo,25 - Other,L14003-5
200261,2020,11/23/2020,Danbury,32 COALPIT HILL RD #5,87000,193000,Condo,25 - Other,J16087-5
200056,2020,11/20/2020,Essex,18 SUNSET TERR,182300,310000,Single Family,07 - Change in Property,ESSEX
200784,2020,04/07/2021,Danbury,11 SPRUCE MT TL,206200,482000,Single Family,07 - Change in Property,F20016
200265,2020,11/23/2020,Danbury,32 COAPIT HILL RD #10,83400,188700,Condo,25 - Other,J16087-10
200912,2020,05/10/2021,Danbury,1 FARVIEW AV A-19,102800,256200,Condo,07 - Change in Property,H13018-19
20007,2020,10/21/2020,Barkhamsted,71 TAYLOR RD,156310,172000,Single Family,14 - Foreclosure,"1972 RAISED RANCH, 1400 SFLA, 2.43 AC"
200193,2020,11/09/2020,Danbury,14 PRESIDENT ST,110900,260000,Single Family,07 - Change in Property,K16074
201268,2020,07/27/2021,Danbury,98 FRANKLIN ST,130700,327000,Single Family,25 - Other,G13201
200483,2020,01/13/2021,Danbury,12 GREENLAWN DR,98000,150995,Single Family,07 - Change in Property,MOBILE HOME / D15017-177
200879,2020,04/29/2021,Danbury,50 LIBERTY AV,111400,267800,Single Family,07 - Change in Property,K15050
200610,2020,02/17/2021,Danbury,29 HIGH ST,189400,335000,Two Family,25 - Other,K16084
2020340,2020,09/09/2021,Ansonia,43 GROVE ST,94000,339000,Two Family,07 - Change in Property,"HIGH SALE, BUT VALID"
200651,2020,07/06/2021,Glastonbury,150 NAUBUC AVE,166500,445000,Single Family,07 - Change in Property,"Market sale, owner updated over 10 years. Some w permits, some w/out"
200920,2020,05/10/2021,Danbury,42 BRENTWOOD CI,278800,530000,Condo,25 - Other,B16001-170
200318,2020,08/18/2021,Colchester,71 SHAILOR HILL RD,145100,160000,Single Family,25 - Other,NOT ON MARKET
2020333,2020,09/07/2021,Ansonia,69 N STATE ST,110200,325000,Two Family,07 - Change in Property,"HIGH SALE, BUT VALID"
200395,2020,12/22/2020,Danbury,30 DAVIS ST,160000,380000,Single Family,07 - Change in Property,G13155
200266,2020,11/23/2020,Danbury,32 COALPIT HILL RD #11,84900,181778,Condo,25 - Other,J16087-11
201009,2020,06/01/2021,Danbury,22 JEFFERSON AV,133800,340000,Single Family,07 - Change in Property,H16147
200698,2020,03/10/2021,Danbury,7 PADANARAM RD 60,80200,139900,Condo,25 - Other,H10157-60
200659,2020,03/08/2021,Danbury,90 SO KING ST,182100,225000,Single Family,25 - Other,E09071
201341,2020,08/09/2021,Danbury,10 BEECH ST,136600,315000,Single Family,07 - Change in Property,I11209
200795,2020,01/25/2021,Norwalk,15 CHESTNUT ST,264130,885000,Two Family,03 - Inter Corporation,2-55-6-0
201016,2020,03/25/2021,Norwalk,15 PINE POINT RD UNIT 106,46900,97000,Condo,25 - Other,6-1A-1-106 - CONDO BEACH LOCKER
20344,2020,07/01/2021,Montville,23 GEORGIA RD UNIT 16,32880,40000,Condo,25 - Other,SALES RATIO
202590,2020,07/01/2021,Norwalk,14 ELTON CT,212070,499000,Single Family,07 - Change in Property,1-51-29-0
200657,2020,08/30/2021,South Windsor,234 ABBE RD,175300,390000,Single Family,07 - Change in Property,W/IN-LAW APT
202984,2020,09/07/2021,Norwalk,37 MEEKER CT,289460,1375000,Single Family,07 - Change in Property,6-28C-15A-0
20072,2020,11/25/2020,Montville,710 FIRE ST,116440,107500,Single Family,25 - Other,SALES RATIO
202968,2020,09/03/2021,Norwalk,5 LACEY LN,335620,619000,Single Family,25 - Other,5-58-471-0
202583,2020,07/01/2021,Norwalk,54 WINDING LN,356590,680000,Single Family,07 - Change in Property,5-23-202-0
20415,2020,08/25/2021,Montville,30 DUBOIS RD,39370,40000,Single Family,25 - Other,SALES RATIO
200103,2020,03/17/2021,Portland,47 ROSE HILL RD,234290,400000,Single Family,25 - Other,059-0056 2 SALES IN ONE YEAR
20060,2020,11/19/2020,Montville,405 FITCH HILL RD,206170,150000,Single Family,25 - Other,SALES RATIO
20146,2020,01/22/2021,Montville,20 FLORIDA DR,102990,108000,Single Family,25 - Other,SALES RATIO
20423,2020,08/30/2021,Montville,63 POLLYS LN,98730,155000,Single Family,25 - Other,SALES RATIO
202836,2020,08/11/2021,Norwalk,15 SINGINGWOODS RD,566310,1050993,Two Family,07 - Change in Property,5-43-107-0
20033,2020,10/30/2020,Montville,20 CAROL DR,98730,75000,Single Family,25 - Other,SALES RATIO
20048,2020,11/12/2020,Montville,124C WOODLAND DR,47300,35000,Condo,25 - Other,SALES RATIO
200133,2020,11/06/2020,New Haven,131 BRISTOL ST,181790,172500,Three Family,25 - Other,BELOW MARKET
20522,2020,06/30/2021,Southbury,1142 SOUTH BRITAIN RD,269050,570000,Single Family,25 - Other,HAS ACCESS APT
20435,2020,05/19/2021,Southbury,700 BUCKS HILL RD,262270,337500,Two Family,14 - Foreclosure,HOUSE WITH ACCESS APT
200150,2020,10/26/2020,Norwalk,3 BRANFORD ST,248050,690000,Single Family,07 - Change in Property,3-45-5-0
2020166,2020,03/22/2021,Old Saybrook,15 COVE ST,175900,893000,Single Family,07 - Change in Property,"renovations - home sold before assessment was increased to 423,500"
202501,2020,06/17/2021,Norwalk,4 LORENA ST,347790,1080000,Three Family,07 - Change in Property,3-46-11-0
202216,2020,04/30/2021,Norwalk,6 TRACEY ST,223480,562000,Single Family,07 - Change in Property,5-56-502-0
200789,2020,01/22/2021,Norwalk,35 MEEKER CT,292110,1300000,Single Family,07 - Change in Property,6-28C-40-0 - RES VACANT LAND
202000201,2020,06/10/2021,Plymouth,18 N LAKESIDE DRIVE,44800,143995,Condo,07 - Change in Property,MOBILE HOME
200204,2020,11/25/2020,New Haven,187 ENGLISH ST,88690,173000,Two Family,25 - Other,BELOW MARKET
20375,2020,07/19/2021,Montville,227 ROUTE 163,90840,233000,Single Family,07 - Change in Property,SALES RATIO
200083,2020,06/28/2021,Sterling,495 STERLING RD,78540,186000,Single Family,07 - Change in Property,CAPE BUILT 1900 ON .35 ACRES
20293,2020,06/03/2021,Montville,154 NOBLE HILL RD,300910,415000,Single Family,07 - Change in Property,SALES RATIO
20444,2020,09/13/2021,Montville,61 ROUTE 32,104620,151150,Single Family,25 - Other,SALES RATIO
20049,2020,11/12/2020,Montville,135C WOODLAND DR,46840,35000,Condo,25 - Other,SALES RATIO
200694,2020,01/06/2021,Norwalk,70 HIGHLAND AVE,718490,2275023,Single Family,07 - Change in Property,6-19A-21-0
202473,2020,06/15/2021,Norwalk,75 HIGHLAND AVE,556980,1480000,Two Family,07 - Change in Property,6-20A-3-0
200812,2020,07/02/2021,Middletown,16 BEVERLY HGTS,117450,135000,Two Family,25 - Other,"Although the deed lists the sale as 135,000 the Real Estate agent lists the sale price as 291,500"
202901,2020,08/23/2021,Norwalk,3 BRANFORD ST,248050,765000,Single Family,07 - Change in Property,3-45-5-0
200025,2020,10/05/2020,Norwalk,15 KREINER LN,376390,310000,Single Family,25 - Other,5-46-195-0
200672,2020,12/29/2020,Norwalk,3 TOILSOME AVE,283620,265000,Single Family,25 - Other,5-26-89-0
202685,2020,07/19/2021,Norwalk,8 TULIP TREE LN,480670,950000,Single Family,07 - Change in Property,5-33-35-0
201062,2020,06/22/2021,New Haven,215 KNEELAND RD,130760,260000,Single Family,08 - Part Interest,HALF INTEREST SOLD IN TWO DEEDS
202609,2020,07/06/2021,Norwalk,10 AUTUMN ST,191580,430000,Single Family,07 - Change in Property,5-56-218-0
2020293,2020,07/21/2021,Old Saybrook,17 CEDARWOOD LA,166000,485000,Single Family,07 - Change in Property,"after the fact permits when home sold increased assessment to 185,400"
202718,2020,07/23/2021,Norwalk,54 SILVERMINE AVE,257620,470000,Single Family,07 - Change in Property,5-49-28-0
200238,2020,11/19/2020,Norwalk,155 WOLFPIT AVE,436460,320000,Single Family,08 - Part Interest,5-16-438-0
20425,2020,09/01/2021,Montville,17 MANOR RD,98870,275000,Single Family,07 - Change in Property,SALES RATIO
2020171,2020,03/19/2021,Old Saybrook,1 CAPTAINS LA,186300,476000,Single Family,07 - Change in Property,"renovations - home sold before assessment was updated to 198,300"
20242,2020,05/03/2021,Montville,374 FITCH HILL RD,123370,140000,Single Family,25 - Other,SALES RATIO
20451,2020,09/14/2021,Montville,173 DEPOT RD EXT,94290,30000,Single Family,25 - Other,SALES RATIO
203041,2020,09/16/2021,Norwalk,74 COUNTY ST,238710,621000,Single Family,07 - Change in Property,5-8-58-0
202265,2020,05/10/2021,Norwalk,3 SNIFFEN ST UNIT 3,122480,170000,Condo,07 - Change in Property,5-47-96-3
200174,2020,02/17/2021,New Fairfield,67 BALL POND RD,141000,85000,Single Family,07 - Change in Property,IMPROVED AFTER SALE
202937,2020,08/30/2021,Norwalk,9 RANGE RD,397170,1220000,Single Family,07 - Change in Property,6-32B-22-0
20439,2020,05/21/2021,Southbury,506 BURR RD,352120,545000,Two Family,25 - Other,HOUSE WITH ACCESS APT
202781,2020,08/03/2021,Norwalk,12 CAVRAY RD,467390,1610000,Single Family,07 - Change in Property,3-24A-75-0
201146,2020,04/19/2021,Norwalk,7 ARCH ST UNIT 1,114950,96000,Condo,25 - Other,1-20-35-1
20313,2020,06/11/2021,Montville,1401 OLD COLCHESTER RD,337630,200000,Single Family,25 - Other,SALES RATIO
200551,2020,12/07/2020,Norwalk,3 SNIFFEN ST,122480,73000,Condo,07 - Change in Property,5-47-96-3
202752,2020,07/29/2021,Norwalk,7 CIDER LN,261200,600000,Single Family,07 - Change in Property,5-17-163-0
200241,2020,09/22/2021,Portland,10 JOELLE DR,173670,369000,Single Family,07 - Change in Property,038-0085 TWO SALES IN ONE YEAR
202281,2020,05/12/2021,Norwalk,21 POINT RD,3340730,2340000,Single Family,25 - Other,5-84A-73-0
202000202,2020,06/10/2021,Plymouth,3 LOVELY STREET,24500,154995,Condo,07 - Change in Property,MOBILE HOME
20089,2020,12/07/2020,Montville,227 ROUTE 163,90840,65000,Single Family,25 - Other,SALES RATIO
200971,2020,03/15/2021,Norwalk,143 SILVERMINE AVE,263630,216057,Single Family,25 - Other,5-45-120-0
200090,2020,04/15/2021,New Hartford,326 TOWN HILL ROAD,203630,195000,Single Family,25 - Other,ESTATE SALE
200207,2020,04/05/2021,Wolcott,341 ANDREWS RD,250860,525000,Single Family,25 - Other,RELOCATION; SELLER SOLD AT SAME TIME AS HE SOLD ABUTTING PROPERTIES
200047,2020,11/16/2020,Westbrook,17 E Z ST,232400,90000,Single Family,25 - Other,RANCH
2020025,2020,10/27/2020,Tolland,52 WILLIAMS WAY,376800,650000,Single Family,07 - Change in Property,DESIREABLE LOCATION
200003,2020,10/01/2020,Wolcott,355 LYMAN RD,251260,408000,Single Family,25 - Other,VERY SHORT TIME FOR PRICE RANGE
200397,2020,09/17/2021,Wolcott,105 NORTH ST,128020,230000,Single Family,25 - Other,per MLS more improvements than town records -FINISHED LOWER LEVEL
20200099,2020,09/14/2021,Willington,239 JARED SPARKS ROAD,129250,25000,Single Family,25 - Other,RANCH
200279,2020,06/16/2021,Wolcott,3 COLMAN DR,384220,495000,Single Family,25 - Other,2 HOUSES ON 1 LOT -BARN CONVERTED INTO IN-LAW
200369,2020,09/22/2021,Suffield,811 BRIDGE ST,165620,300000,Single Family,07 - Change in Property,"OVER ASK PRICE OF $299,900"
200200,2020,07/26/2021,Westbrook,17 E Z ST,232400,440000,Single Family,07 - Change in Property,"RANCH, SOLD LESS THAN A YEAR AGO"
200098,2020,03/26/2021,Thomaston,61 CENTER ST,110040,155000,Four Family,25 - Other,NO IDEA WHY IT SOLD SO LOW
200210,2020,08/10/2021,Westbrook,7 OLD FORGE RD,55840,185000,Single Family,22 - Money and Personal Property,MANUFACTURED HOME
200083,2020,01/06/2021,Westbrook,17 E Z ST,232400,160000,Single Family,25 - Other,"RANCH, LAST SOLD 2 MONTHS AGO"
200173,2020,08/03/2021,Woodstock,182 RT 171,123100,325000,Single Family,07 - Change in Property,cape
200150,2020,07/12/2021,Thomaston,127 CARTER RD,113400,85000,Single Family,25 - Other,NOT SURE
200185,2020,07/02/2021,Westbrook,21 LEA DR,205130,315000,Single Family,07 - Change in Property,"RAISED RANCH, LAST SOLD 9 MONTHS AGO"
200197,2020,09/13/2021,Woodstock,7 BIG HORN LN,146900,465000,Single Family,22 - Money and Personal Property,WATERFRONT RANCH
200144,2020,06/30/2021,Thomaston,1302 OLD NORTHFIELD RD,87220,90000,Single Family,25 - Other,SOLD LOW NOT SURE WHY
20200078,2020,07/06/2021,Willington,224 RIVER ROAD,223070,318790019,Single Family,25 - Other,COLONIAL
20138,2020,03/01/2021,Winchester,159 OAK STREET,78470,103000,Single Family,07 - Change in Property,SENT SALES VERIFICATION
200316,2020,07/15/2021,Wolcott,78 TODD HOLLOW RD,205120,367000,Single Family,25 - Other,non MLS sale; no market time or sales or financing concession data available
20200102,2020,09/28/2021,Willington,7 TOLLAND TURNPIKE ROAD,112040,194149073,Three Family,25 - Other,MULTI FAMILY
20200087,2020,08/11/2021,Willington,23 JARED SPARKS ROAD,144650,325000,Single Family,07 - Change in Property,RANCH
20200098,2020,09/14/2021,Willington,47 LUCHON ROAD,110250,620000,Single Family,07 - Change in Property,MODERN/CONTEMP
160941,2016,08/02/2017,Danbury,47 BELMONT CI,148900,355000,Two Family,01 - Family,G16098
160177,2016,05/17/2017,Ansonia,41 WOODLAWN AVENUE,121400,115000,Single Family,25 - Other,RESTRICTIONS OF RESALE WITHIN 90 DAYS
160226,2016,07/18/2017,Ansonia,19 FITZPATRICK ROAD,128600,285000,Single Family,05 - Deed Date,MULTI SALES WITHIN 6 MONTHS
160917,2016,07/31/2017,Danbury,30 NANCY DR,130800,90000,Single Family,25 - Other,J10092 /  GOOD TRANSFER
161121,2016,09/18/2017,Danbury,262 GREAT PLAIN RD,104200,235000,Single Family,22 - Money and Personal Property,J03078
161019,2016,08/28/2017,Danbury,15 SCUPPO RD #906,141400,220000,Condo,14 - Foreclosure,SALE OF FORECLOSURE / F14068-906
160052,2016,03/31/2017,Preston,290 ROUTE 2,113200,50000,Single Family,25 - Other,290 ROUTE 2
160710,2016,06/05/2017,Danbury,3 CELBRET DR,189700,165999,Single Family,14 - Foreclosure,D19014
160901,2016,09/01/2017,East Hampton,35 MALLARD COVE,146470,141000,Condo,25 - Other,1 SALE = 2 PROPERTIES 35 MALLARD COVE & 28 MALLARD COVE GARAGE
160356,2016,04/24/2017,Torrington,2 SILVER BROOK LN,215300,237000,Single Family,25 - Other,A/S=.91
160349,2016,04/24/2017,Torrington,425 WESTLEDGE DR,222750,255500,Single Family,25 - Other,A/S=.87
160061,2016,11/01/2016,Torrington,112 BIRDEN ST,84840,92000,Single Family,25 - Other,A/S=.92
161017,2016,08/28/2017,Danbury,4 CANDLEWOOD DR,165100,288000,Single Family,25 - Other,I06191
160936,2016,08/01/2017,Danbury,44 PINE TRAIL,91100,96000,Single Family,14 - Foreclosure,H04011
161018,2016,08/28/2017,Danbury,27 CROWS NEST LA #1L,112600,159000,Condo,25 - Other,L15008-12
160011,2016,10/05/2016,Torrington,74 EASTWOOD RD,90880,110000,Single Family,25 - Other,A/S=.83
160697,2016,06/01/2017,Danbury,124 WARRINGTON RN,171500,413497,Condo,06 - Portion of Property,B15001-55-124
160918,2016,09/18/2017,East Hampton,31 MALLARD COVE,137280,124900,Condo,25 - Other,1 SALE = 2 PROPERTIES 31 MALLARD COVE AND 20 MALLARD COVE GARAGE
160279,2016,03/02/2017,Torrington,66 BENHAM ST,73860,75000,Two Family,25 - Other,A/S=.98
1600024,2016,01/09/2017,Sterling,1030 PLAINFIELD PIKE,90590,65000,Single Family,25 - Other,1.38 ACRES WITH MOBILE HOME AND TWO FAMILY HOUSE BUILT 1930
160298,2016,03/15/2017,Torrington,129 NORWOOD ST,82410,90000,Single Family,25 - Other,A/S=.92
160804,2016,07/03/2017,Danbury,15 SCUPPO RD #505,139300,139000,Condo,25 - Other,F14068-505
160107,2016,11/22/2016,Torrington,24 ROSSI RD,86630,160000,Single Family,07 - Change in Property,A/S=.54
160119,2016,11/28/2016,Torrington,QUEENS RD UNIT 141,36660,38800,Condo,25 - Other,A/S=.94
160903,2016,07/26/2017,Danbury,7 CLAIRANN DR,159200,367500,Single Family,07 - Change in Property,D06058
160099,2016,08/31/2017,Preston,108 COOKTOWN RD,124750,72000,Single Family,25 - Other,108 COOKTOWN RD
160700,2016,06/01/2017,Danbury,34 MERRIMAC ST,217700,175000,Two Family,08 - Part Interest,G15289
160069,2016,11/21/2016,South Windsor,35 MAIN ST E-12,9900,10000,Single Family,25 - Other,MOBILE HOME
160705,2016,07/03/2017,East Hampton,8 MAIN ST,143500,100000,Single Family,26 - Rehabilitation Deferred,TOTAL REHABILATATION STILL IN PROGRESS PERMITS AVAILABLE UPON REQUEST
160146,2016,05/23/2017,Putnam,7 ROWE ST,207400,267000,Single Family,07 - Change in Property,HOUSE AND GARAGE LIVING QUARTERS
160133,2016,12/05/2016,Torrington,351 MAIN ST,63630,75600,Two Family,25 - Other,A/S=.84
161020,2016,08/28/2017,Danbury,10 ASPEN WAY,191100,335000,Single Family,25 - Other,L04002
161021,2016,08/28/2017,Danbury,53 TUCKER ST #2703,235500,365000,Condo,25 - Other,K16120-2703
160777,2016,06/26/2017,Danbury,18 TRIANGLE ST #F-5,125100,131969,Condo,14 - Foreclosure,J15244-16
161148,2016,09/27/2017,Hamden,20 BITTERSWEET AVE,166600,155000,Single Family,25 - Other,EXEC DEED
161152,2016,09/28/2017,Danbury,6 MCKAY RD,160500,334000,Single Family,07 - Change in Property,K07079
161046,2016,08/31/2017,Danbury,14 OLYMPIC DR,234400,380000,Single Family,25 - Other,F20126
170259,2017,01/22/2018,New Haven,30 FIRST AVENUE,102550,123500,Single Family,25 - Other,BELOW MARKET
17025,2017,07/12/2018,Eastford,95 LAKESIDE DR,232070,326649,Single Family,17 - Two Towns,waterfront
